Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
VPD Lab Order Identifier	LabOrderIdentifierVPD	2.16.840.1.114222.4.11.7109	3	Codes used to request tests for VPD project	Published	07/06/2015	Initial Import for : 453DF80A-BBCF-E211-A27C-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
24127-3	B pert PT IgG Ser EIA-aCnc	Bordetella pertussis toxin IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
549-6	B pert XXX Ql Cult	Bordetella pertussis [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62426-2	Bordetella DNA pnl XXX PCR	Bordetella sp DNA panel - Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62428-8	Bordetella DNA XXX PCR	Bordetella sp DNA [Identifier] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PLT299	Bordetella sp DNA RT-PCR XXX [Ct]	Bordetella sp DNA [Ct numeric] on unspecified specimen by Probe and target amplification method		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
68991-9	Epidemiologically important info pnl	Epidemiologically important information for public health reporting panel		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PLT369	Haem influ DNA hpd marker XXX PCR [Ct]	Haemophilus influenzae DNA hpd marker [Ct numeric] in Unspecified specimen by Probe and target amplification method		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
61366-1	Haem influ DNA XXX Ql PCR	Haemophilus influenzae DNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
58473-0	Haem influ serogroup DNA XXX PCR	Haemophilus influenzae serogroup DNA [Identifier] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33027-4	HSV+VZV DNA XXX Ql PCR	Herpes simplex virus+Varicella zoster virus DNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68993-5	Human Rnase P RNA XXX Ql PCR	Human Rnase P RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
