Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
VPD Laboratory Coded Observation	LaboratoryCodedObservationVPD	2.16.840.1.114222.4.11.7103	3	result value set for coded bservation in VPD project	Published	07/06/2015	Initial Import for : D96A9163-AFCF-E211-A27C-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
723	AMOXICILLIN	AMOXICILLIN		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
733	AMPICILLIN	AMPICILLIN		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
151392	AUGMENTIN	AUGMENTIN		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
18631	AZITHROMYCIN	AZITHROMYCIN		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10620008	Bordetella bronchiseptica (organism)	Bordetella bronchiseptica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116035000	Bordetella holmesii (organism)	Bordetella holmesii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26183002	Bordetella parapertussis (organism)	Bordetella parapertussis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR195	Bordetella parapertussis and Bordetella holmesii DNA detected (finding)	Bordetella parapertussis and Bordetella holmesii DNA detected		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
5247005	Bordetella pertussis (organism)	Bordetella pertussis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR193	Bordetella pertussis and Bordetella holmesii DNA detected (finding)	Bordetella pertussis and Bordetella holmesii DNA detected		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR194	Bordetella pertussis and Bordetella parapertussis DNA detected (finding)	Bordetella pertussis and Bordetella parapertussis DNA detected		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
203635	CECLOR	CECLOR		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
25033	CEFIXIME	CEFIXIME		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
21212	CLARITHROMYCIN	CLARITHROMYCIN		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
62604006	Contaminated (qualifier value)	Contaminated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260373001	Detected (qualifier value)	Detected		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3640	DOXYCYCLINE	DOXYCYCLINE		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
42425007	Equivocal (qualifier value)	Equivocal		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4053	ERYTHROMYCIN	ERYTHROMYCIN		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
103441001	Haemophilus influenzae type a (organism)	Haemophilus influenzae type a		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103442008	Haemophilus influenzae type b (organism)	Haemophilus influenzae type b		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103443003	Haemophilus influenzae type c (organism)	Haemophilus influenzae type c		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103444009	Haemophilus influenzae type d (organism)	Haemophilus influenzae type d		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103445005	Haemophilus influenzae type e (organism)	Haemophilus influenzae type e		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103446006	Haemophilus influenzae type f (organism)	Haemophilus influenzae type f		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
414374000	Haemophilus influenzae, non-typable	Haemophilus influenzae, non-typable		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR297	Haemophilus influenzae, not typable by PCR (finding)	Haemophilus influenzae, not typable by PCR		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
419984006	Inconclusive (qualifier value)	Inconclusive		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
82334004	Indeterminate (qualifier value)	Indeterminate		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
46651001	Isolated (qualifier value)	Isolated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426558008	Measles virus genotype A (organism)	Measles virus genotype A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
