Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
AR Agent (RIBD)	PHVS_ARAgent_RIBD	2.16.840.1.114222.4.11.7700	2	Antimicrobial agent.	Published	04/19/2018	Added Ciprofloxacin and Rifampin

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
641	Amikacin	Amikacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
723	Amoxicillin	Amoxicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
19711	Amoxicillin / Clavulanate	Amoxicillin-Potassium Clavulanate Combination		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
733	Ampicillin	Ampicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
703744001	Ampicillin and sulbactam (substance)	Ampicillin and sulbactam		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18631	Azithromycin	Azithromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
20481	cefepime	cefepime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2186	Cefotaxime	Cefotaxime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2191	Ceftazidime	Ceftazidime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2193	Ceftriaxone	Ceftriaxone		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2194	Cefuroxime	Cefuroxime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2551	Ciprofloxacin	Ciprofloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2582	Clindamycin	Clindamycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
119771	doripenem	doripenem		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
325642	ertapenem	ertapenem		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
4053	Erythromycin	Erythromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
228476	gatifloxacin	gatifloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
662411	Gentamicins	Gentamicins		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
5690	Imipenem	Imipenem		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
82122	Levofloxacin	Levofloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
190376	linezolid	linezolid		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
29561	meropenem	meropenem		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
139462	moxifloxacin	moxifloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
7773	Oxacillin	Oxacillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
70618	Penicillin	Penicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
703743007	Piperacillin and tazobactam (substance)	Piperacillin and tazobactam		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
324352008	Quinupristin+dalfopristin (product)	Quinupristin+dalfopristin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9384	Rifampin	Rifampin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
18469	sparfloxacin	sparfloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10831	Sulfamethoxazole / Trimethoprim	Trimethoprim-Sulfamethoxazole Combination		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10395	Tetracycline	Tetracycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10627	Tobramycin	Tobramycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
11124	Vancomycin	Vancomycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
