Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7)	PHVS_AbnormalFlag_HL7_2x	2.16.840.1.114222.4.11.800	1	HL7 version 2.5 User-Defined Table 0078 Abnormal Flags used for laboratory result interpretation	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
A	Abnormal (applies to non-numeric results)	Abnormal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
>	Above absolute high-off instrument scale	Above absolute high-off instrument scale		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
H	Above high normal	Above high normal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
HH	Above upper panic limits	Above upper panic limits		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
<	Below absolute low-off instrument scale	Below absolute low-off instrument scale		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
L	Below low normal	Below low normal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
LL	Below lower panic limits	Below lower panic limits		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
B	Better--use when direction not relevant	Better		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
I	Intermediate. Indicates for microbiology susceptibilities only.	Intermediate		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
MS	Moderately susceptible. Indicates for microbiology susceptibilities only.	Moderately susceptible		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
null	No range defined, or normal ranges don't apply	No range defined, or normal ranges don't apply		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
N	Normal (applies to non-numeric results)	Normal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
R	Resistant. Indicates for microbiology susceptibilities only.	Resistant		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
D	Significant change down	Significant change down		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
U	Significant change up	Significant change up		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
S	Susceptible. Indicates for microbiology susceptibilities only.	Susceptible		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
AA	Very abnormal (applies to non-numeric units, analogous to panic limits for numeric units)	Very abnormal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
VS	Very susceptible. Indicates for microbiology susceptibilities only.	Very susceptible		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
W	Worse--use when direction not relevant	Worse		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
