Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Act Status	PHVS_ActStatus	2.16.840.1.113883.1.11.159331	1	Contains the names (codes) for each of the states in the state-machine of the RIM Act class.	Published	04/26/2016	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
aborted	aborted	aborted		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
active	active	active		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
cancelled	cancelled	cancelled		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
completed	completed	completed		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
held	held	held		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
new	new	new		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
normal	normal	normal		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
nullified	nullified	nullified		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
obsolete	obsolete	obsolete		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
suspended	suspended	suspended		2.16.840.1.113883.5.14	ActStatus	PH_ActStatus_HL7_V3	20090501	HITSP-CS-14
