Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Additive or Preservative (HL7)	PHVS_AdditiveOrPreservative_HL7_2x	2.16.840.1.114222.4.11.960	1	HL7 version 2.5 Table 0371 Additive/Preservative codes.  Information regarding any substances added to the specimen before or at the time of specimen collection.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
F10	10% Formalin	10% Formalin		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
C32	3.2%  Citrate	3.2%  Citrate		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
C38	3.8% Citrate	3.8% Citrate		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
HCL6	6N HCL	6N HCL		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
ACDA	ACD Solution A	ACD Solution A		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
ACDB	ACD Solution B	ACD Solution B		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
ACET	Acetic Acid	Acetic Acid		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
AMIES	Amies transport medium	Amies transport medium		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
HEPA	Ammonium heparin	Ammonium heparin		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
BACTM	Bacterial Transport medium	Bacterial Transport medium		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
BOR	Borate Boric Acid	Borate Boric Acid		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
BOUIN	Bouin's solution	Bouin's solution		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
BF10	Buffered 10% formalin	Buffered 10% formalin		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
WEST	Buffered Citrate (Westergren Sedimentation Rate)	Buffered Citrate (Westergren Sedimentation Rate)		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
BSKM	Buffered skim milk	Buffered skim milk		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
CARS	Carson's Modified 10% formalin	Carson's Modified 10% formalin		2.16.840.1.113883.12.371	Additive (HL7)	PH_AdditiveOrPreservative_HL7_2x	HL7 v2.5	HL70371
