Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Address Type (HL7)	PHVS_AddressType_HL7_2x	2.16.840.1.114222.4.11.801	2	Address Type	Published	06/04/2018	Add new concepts from hl7 v.8.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
BA	Bad address	Bad address		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
BI	Billing Address	Billing Address		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
N	Birth (nee) (birth address, not otherwise specified)	Birth (nee) (birth address, not otherwise specified)		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
BDL	Birth delivery location (address where birth occurred)	Birth delivery location (address where birth occurred)		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
F	Country Of Origin	Country Of Origin		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
C	Current Or Temporary	Current Or Temporary		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
B	Firm/Business	Firm/Business		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
H	Home	Home		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
L	Legal Address	Legal Address		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
M	Mailing	Mailing		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
O	Office	Office		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
P	Permanent	Permanent		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
RH	Registry home. Refers to the information system, typically managed by a public health agency, that stores patient information such as immunization histories or cancer data, regardless of where the patient obtains services.	Registry home. Refers to the information system, typically managed by a public health agency, that stores patient information such as immunization histories or cancer data, regardless of where the patient obtains services.		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
BR	Residence at birth (home address at time of birth)	Residence at birth (home address at time of birth)		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
S	Service Location	Service Location		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
SH	Shipping Address	Shipping Address		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
TM	Tube Address	Tube Address		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
V	Vacation	Vacation		2.16.840.1.113883.12.190	Address Type (HL7)	PH_AddressType_HL7_2x	HL7 v2.8.2	HL70190
