Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Administration Method (HL7)	PHVS_AdministrationMethod_HL7_2x	2.16.840.1.114222.4.11.803	1	HL7 version 2.5 Table 0165 Administration Method codes used for Substance Administration	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
CH	Chew	Chew		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
DI	Dissolve	Dissolve		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
DU	Dust	Dust		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
IF	Infiltrate	Infiltrate		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
IS	Insert	Insert		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
IR	Irrigate	Irrigate		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
IVPB	IV Piggyback	IV Piggyback		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
IVP	IV Push	IV Push		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
NB	Nebulized	Nebulized		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
PT	Pain	Pain		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
PF	Perfuse	Perfuse		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
SH	Shampoo	Shampoo		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
SO	Soak	Soak		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
WA	Wash	Wash		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
WI	Wipe	Wipe		2.16.840.1.113883.12.165	Administration method (HL7)	PH_AdministrationMethod_HL7_2x	HL7 v2.5	HL70165
