Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Alternate Character Sets (HL7)	PHVS_AlternateCharacterSets_HL7_2x	2.16.840.1.114222.4.11.3347	1	HL7 version 2.x Alternate character sets used in chapter(s) 2; HL7 table 0211	Published	08/14/2010	HL7 v2.5

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
GB 18030-2000	Code for Chinese Character Set (GB 18030-2000)	Code for Chinese Character Set (GB 18030-2000)		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
ISO IR14	Code for Information Exchange (one byte)(JIS X 0201-1976).	Code for Information Exchange (one byte)(JIS X 0201-1976).		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
KS X 1001	Code for Korean Character Set (KS X 1001)	Code for Korean Character Set (KS X 1001)		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
BIG-5	Code for Taiwanese Character Set (BIG-5)	Code for Taiwanese Character Set (BIG-5)		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
CNS 11643-1992	Code for Taiwanese Character Set (CNS 11643-1992)	Code for Taiwanese Character Set (CNS 11643-1992)		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
ISO IR87	Code for the Japanese Graphic Character set for information interchange (JIS X 0208-1990),	Code for the Japanese Graphic Character set for information interchange (JIS X 0208-1990),		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
ISO IR159	Code of the supplementary Japanese Graphic Character set for information interchange (JIS X 0212-1990).	Code of the supplementary Japanese Graphic Character set for information interchange (JIS X 0212-1990).		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
ASCII	The printable 7-bit ASCII character set.	The printable 7-bit ASCII character set.		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/1	The printable characters from the ISO 8859/1 Character set	The printable characters from the ISO 8859/1 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/2	The printable characters from the ISO 8859/2 Character set	The printable characters from the ISO 8859/2 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/3	The printable characters from the ISO 8859/3 Character set	The printable characters from the ISO 8859/3 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/4	The printable characters from the ISO 8859/4 Character set	The printable characters from the ISO 8859/4 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/5	The printable characters from the ISO 8859/5 Character set	The printable characters from the ISO 8859/5 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/6	The printable characters from the ISO 8859/6 Character set	The printable characters from the ISO 8859/6 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/7	The printable characters from the ISO 8859/7 Character set	The printable characters from the ISO 8859/7 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/8	The printable characters from the ISO 8859/8 Character set	The printable characters from the ISO 8859/8 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
8859/9	The printable characters from the ISO 8859/9 Character set	The printable characters from the ISO 8859/9 Character set		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
UNICODE	The world wide character standard from ISO/IEC 10646-1-1993	The world wide character standard from ISO/IEC 10646-1-1993		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
UNICODE UTF-16	UCS Transformation Format, 16-bit form	UCS Transformation Format, 16-bit form		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
UNICODE UTF-32	UCS Transformation Format, 32-bit form	UCS Transformation Format, 32-bit form		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
UNICODE UTF-8	UCS Transformation Format, 8-bit form	UCS Transformation Format, 8-bit form		2.16.840.1.113883.12.211	Alternate character sets (HL7)	PH_AlternateCharacterSets_HL7_2x	HL7 v2.7	HL70211
