Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Animal	PHVS_Animal_CDC	2.16.840.1.114222.4.11.1074	5	Animal Keyword: Animal Type based on SNOMED domain (387961004)	Published	08/14/2010	Update based on July 31st, 2010 SNOMED version

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
132327001	? pig breed (organism)	? pig breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
132834009	?land chicken breed (organism)	?land chicken breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
132835005	?lansk Bantam chicken breed (organism)	?lansk Bantam chicken breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
132818006	?sbos chicken breed (organism)	?sbos chicken breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30565000	A.S.C.O.B. cocker spaniel (organism)	A.S.C.O.B. cocker spaniel		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10832005	Abbott's booby (organism)	Abbott's booby		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84923006	Aberdeen Angus cattle breed (organism)	Aberdeen Angus cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
132945006	Abessinier guinea pig breed (organism)	Abessinier guinea pig breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131540009	Abigar cattle breed (organism)	Abigar cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
33868007	Ablennes hians (organism)	Ablennes hians		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133551002	Abondance cattle breed (organism)	Abondance cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133068005	Abtenauer horse breed (organism)	Abtenauer horse breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
73468008	Abudefduf saxatilis (organism)	Abudefduf saxatilis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50080008	Abudefduf taurus (organism)	Abudefduf taurus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36074003	Abyssinian cat (organism)	Abyssinian cat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
35856000	Abyssinian guinea pig (organism)	Abyssinian guinea pig		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133653008	Abyssinian Highland Zebu cattle breed (organism)	Abyssinian Highland Zebu cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133122005	Abyssinian horse breed (organism)	Abyssinian horse breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133654002	Abyssinian Shorthorned Zebu cattle breed (organism)	Abyssinian Shorthorned Zebu cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50355003	Acantharchus pomotis (organism)	Acantharchus pomotis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6447004	Acanthemblemaria aspera (organism)	Acanthemblemaria aspera		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57745003	Acanthemblemaria chaplini (organism)	Acanthemblemaria chaplini		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
21422003	Acanthocephalus (organism)	Acanthocephalus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45229005	Acanthocephalus dirus (organism)	Acanthocephalus dirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
21950009	Acanthocybium solanderi (organism)	Acanthocybium solanderi		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75174003	Acanthogobius flavimanus (organism)	Acanthogobius flavimanus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
20015008	Acantholumpenus mackayi (organism)	Acantholumpenus mackayi		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
20366007	Acanthophis antarcticus (organism)	Acanthophis antarcticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
33577006	Acanthurus (organism)	Acanthurus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37461008	Acanthurus bahianus (organism)	Acanthurus bahianus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
112580006	Acanthurus chirurgus (organism)	Acanthurus chirurgus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
1802008	Acanthurus coeruleus (organism)	Acanthurus coeruleus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2422004	Acanthurus randalli (organism)	Acanthurus randalli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
41815005	Acarapis (organism)	Acarapis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
125071006	Acaridae species (organism)	Acaridae species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66026005	Acarus (organism)	Acarus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103575003	Acarus hordei (organism)	Acarus hordei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6610006	Acarus siro (organism)	Acarus siro		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60410007	Accentor (organism)	Accentor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425278006	Accipiter cooperii (organism)	Accipiter cooperii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
229004	Accipiter gentilis (organism)	Accipiter gentilis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
423312004	Accipiter nisus (organism)	Accipiter nisus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
396848007	Accipiter striatus (organism)	Accipiter striatus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133655001	Aceh cattle breed (organism)	Aceh cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133656000	Achham cattle breed (organism)	Achham cattle breed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
21348005	Achirus lineatus (organism)	Achirus lineatus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
8140003	Acholades (organism)	Acholades		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25963006	Acholades asteris (organism)	Acholades asteris		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
