Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Antibiotic Received (RIBD)	PHVS_AntibioticRecevied_RIBD	2.16.840.1.114222.4.11.7693	1	Antibiotic patient received.	Published	03/06/2018	Antibiotic patient received.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
723	Amoxicillin	Amoxicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
19711	Amoxicillin / Clavulanate	Amoxicillin-Potassium Clavulanate Combination		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
733	Ampicillin	Ampicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
703744001	Ampicillin and sulbactam (substance)	Ampicillin and sulbactam		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18631	Azithromycin	Azithromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2180	Cefazolin	Cefazolin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2186	Cefotaxime	Cefotaxime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2189	Cefoxitin	Cefoxitin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2191	Ceftazidime	Ceftazidime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2193	Ceftriaxone	Ceftriaxone		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2194	Cefuroxime	Cefuroxime		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
89678001	Cefuroxime axetil (substance)	Cefuroxime axetil		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
48753004	Cefuroxime sodium (substance)	Cefuroxime sodium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2236	Cephalothin	Cephalothin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2551	Ciprofloxacin	Ciprofloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
21212	Clarithromycin	Clarithromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2582	Clindamycin	Clindamycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
3640	Doxycycline	Doxycycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
4053	Erythromycin	Erythromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
387552007	Levofloxacin (substance)	Levofloxacin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
70618	Penicillin	Penicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10831	Sulfamethoxazole / Trimethoprim	Trimethoprim-Sulfamethoxazole Combination		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10395	Tetracycline	Tetracycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
11124	Vancomycin	Vancomycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
