Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Assistive Reproductive Technology (NCHS)	PHVS_AssistiveReproductiveTechnology_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.146	3	To Reflect the Assistive Reproductive Technology as a Risk Factor in Pregnancy	Published	09/22/2014	Initial Import for : E28D8167-32C5-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
63487001	Assisted fertilization  	Assisted fertilization  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52637005	Test tube ovum fertilization 	Test tube ovum fertilization 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225244002	Direct injection of sperm into cytoplasm of the oocyte 	Direct injection of sperm into cytoplasm of the oocyte 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225248004	Zona drilling 	Zona drilling 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225249007	Subzonal insemination	Subzonal insemination		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425866000	In vitro fertilization using donor eggs 	In vitro fertilization using donor eggs 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425901007	In vitro fertilization with intracytoplasmic sperm injection 	In vitro fertilization with intracytoplasmic sperm injection 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426417003	In vitro fertilization with preimplantation genetic diagnosis 	In vitro fertilization with preimplantation genetic diagnosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426914002	In vitro fertilization using donor egg and intracytoplasmic sperm injection  	In vitro fertilization using donor egg and intracytoplasmic sperm injection  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427664000	In vitro fertilization using donor sperm 	In vitro fertilization using donor sperm 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
