Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Authorization Mode (HL7)	PHVS_AuthorizationMode_HL7_2x	2.16.840.1.114222.4.11.3355	1	HL7 version 2.x Authorization Mode used in chapter(s) 4; HL7 table 0483	Published	08/14/2010	HL7 v2.5

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
EL	Electronic	Electronic		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
EM	E-mail	E-mail		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
FX	Fax	Fax		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
IP	In Person	In Person		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
MA	Mail	Mail		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
PA	Paper	Paper		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
PH	Phone	Phone		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
RE	Reflexive (Automated system)	Reflexive (Automated system)		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
VC	Video-conference	Video-conference		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
VO	Voice	Voice		2.16.840.1.113883.12.483	Authorization Mode (HL7)	PH_AuthorizationMode_HL7_2x	HL7 v2.5	HL70483
