Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
BioSense Observations	PHVS_BioSenseRTObservations_CDC	2.16.840.1.114222.4.11.954	1	Value set for observations used for BioSense RT	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
11283-9	Acuity assessment:Fcn:Enctrfrst:Patient:Nom:	Acuity assessment:Fcn:Enctr^frst:^Patient:Nom:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29553-5	Age Patient Calc	Age:Time:Pt:^Patient:Qn:Calculated		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21612-7	Age Patient Reported	Age:Time:Pt:^Patient:Qn:Reported		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35094-2	Blood pressure panel:-:Pt:Patient:-:	Blood pressure panel:-:Pt:^Patient:-:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8310-5	Body temperature:Temp:Pt:Patient:Qn:	Body temperature:Temp:Pt:^Patient:Qn:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11292-0	Chief complaint:Prid:Pt:^Patient:Nom:Reported	Chief complaint:Prid:Pt:^Patient:Nom:Reported		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
CENSUS	DAILY CENSUS AND SUMMARY REPORT	DAILY CENSUS AND SUMMARY REPORT		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
18698-1	ED clinical finding information:Cmplx:Pt:Patient:Set:	ED clinical finding information:Cmplx:Pt:^Patient:Set:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11300-1	ED diagnosis:Imp:Pt:Patient:Nom:	ED diagnosis:Imp:Pt:^Patient:Nom:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18624-7	ED problem:Find:Pt:Patient:Nar:Reported	ED problem:Find:Pt:^Patient:Nar:Reported		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
OCCUPANCY	FACILITY OCCUPANCY RATE	FACILITY OCCUPANCY RATE		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
10160-0	History of medication use:Find:Pt:Patient:Nar:Reported	History of medication use:Find:Pt:^Patient:Nar:Reported		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8653-8	Hospital discharge instructions:Txt:Pt:Patient:Nar:	Hospital discharge instructions:Txt:Pt:^Patient:Nar:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11368-8	Illness or injury onset date and time:TmStp:Pt:Patient:Qn:	Illness/Injury onset date/Time:TmStp:Pt:^Patient:Qn:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19005-8	Imaging study:Imp:Pt:XXX:Nar:Radiology	X-ray impression:Imp:Pt:XXX:Nar:Radiology		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34120-6	Initial evaluation note:Find:Pt:Outpatient:Doc:{Provider}	Initial evaluation note:Find:Pt:Outpatient:Doc:{Provider}		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
ADMISSIONS	Number of Admissions Past 24 Hours	Number of Admissions Past 24 Hours		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
AVAILABLE	Number of Available Beds	Number of Available Beds		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
DEATHS	Number of Deaths Past 24 Hours	Number of Deaths Past 24 Hours		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
DISCHARGES	Number of Discharges Past 24 Hours	Number of Discharges Past 24 Hours		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
OCCUPIED	Number of Occupied Beds	Number of Occupied Beds		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
UNIT	NURSING UNIT	NURSING UNIT		2.16.840.1.114222.4.5.261	BioSense RT observations (Census) - CDC	PH_BioSenseRTObservations_CDC	20060808	CDCOBS
18782-3	Study observation:Find:Pt:XXX:Nar:XR	Study observation:Find:Pt:XXX:Nar:XR		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18783-1	Study recommendation:Imp:Pt:Patient:Nar:Radiology	Study recommendation:Imp:Pt:^Patient:Nar:Radiology		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21844-6	Usual industry Hx:Find:Pt:Patient:Nom:XXX	Usual industry Hx:Find:Pt:^Patient:Nom:XXX		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21843-8	Usual occupation Hx:Find:Pt:Patient:Nom:XXX	Usual occupation Hx:Find:Pt:^Patient:Nom:XXX		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
28568-4	Visit note:Find:Pt:Emergency department:Doc:Physician	Visit note:Find:Pt:Emergency department:Doc:Physician		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
