Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Birth Defects Diagnostic Confirmation (HL7)	PHVS_BirthDefectsDiagnosticConfirmation_HL7	2.16.840.1.113883.10.14.91	1	Code for the best method used to confirm the presence of the Birth Defect(s) being reported.
	Published	11/23/2016	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
7	Amniocentesis	Amniocentesis		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
9	Auditory brain stem response	Auditory brain stem response		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
8	Biopsy	Biopsy		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
4	CT scan	CT scan		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
5	Echocardiogram	Echocardiogram		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
6	Electrocardiogram	Electrocardiogram		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
3	MRI scan	MRI scan		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
10	Otoacoustic emissions	Otoacoustic emissions		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
2	Postnatal ultrasound	Postnatal ultrasound		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
1	Prenatal ultrasound	Prenatal ultrasound		2.16.840.1.113883.10.14.90	Birth Defects Diagnostic Confirmation (HL7)	PH_BirthDefectsDiagnosticConfirmation_HL7	11/23/16	BDDC
