Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Body Substance	PHVS_BodySubstance_CDC	2.16.840.1.114222.4.11.1067	5	Body Substance based on SNOMED domain (91720002)	Published	08/13/2010	Update based on July 2010 release of SNOMED CT

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
76296009	Abomasal contents (substance)	Abomasal contents (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5420002	Accessory sinus mucus (substance)	Accessory sinus mucus (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413425005	Acid mantle of skin (substance)	Acid mantle of skin (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
386122004	Acidified serum (substance)	Acidified serum (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256908009	Aged serum (substance)	Aged serum (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256670000	All of flexor carpi radialis (substance)	All of flexor carpi radialis (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17913001	Allantoic fluid (substance)	Allantoic fluid (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432704009	Allogeneic bone graft material (substance)	Allogeneic bone graft material (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413478009	Allogeneic bone marrow fluid (substance)	Allogeneic bone marrow fluid (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
261222004	Allograft (stored) vein (substance)	Allograft (stored) vein (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
261224003	Allograft cancellous bone (substance)	Allograft cancellous bone (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
421972007	Allograft cornea (substance)	Allograft cornea (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
286642008	Allograft heart (substance)	Allograft heart (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
286624003	Allograft kidney (substance)	Allograft kidney (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
422354009	Allograft liver (substance)	Allograft liver (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
261223009	Allograft vein (substance)	Allograft vein (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16462002	Alpha neoendorphin (substance)	Alpha neoendorphin (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256915001	Aluminum hydroxide absorbed plasma (substance)	Aluminum hydroxide absorbed plasma (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
72990006	Alveolar air (substance)	Alveolar air (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77012006	Amniotic fluid (substance)	Amniotic fluid (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
15595000	Amorphous or granular extracellular material (substance)	Amorphous or granular extracellular material (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
264502000	Amyloid fibers (substance)	Amyloid fibers (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38482004	Apocrine sweat (substance)	Apocrine sweat (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
51542008	Appendiceal contents (substance)	Appendiceal contents (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425460003	Aqueous humor (substance)	Aqueous humor (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4635002	Arterial blood (substance)	Arterial blood (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
289968004	Arterial graft material (substance)	Arterial graft material (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
303517000	Arteriovenous graft material (substance)	Arteriovenous graft material (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409615008	Ascitic fluid (substance)	Ascitic fluid (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256881004	Augmented bladder (substance)	Augmented bladder (substance)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
