Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Campylobacter Species (BIDS)	PHVS_CampylobacterSpecies_BIDS	2.16.840.1.114222.4.11.7173	1	Defines Campylobacter Culture Isolation Species of interest	Published	11/08/2013	Initial Import for : C3566E91-7348-E311-8CC9-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
448130009	Campylobacter avium	Campylobacter avium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
447727006	Campylobacter canadensis	Campylobacter Canadensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40614002	Campylobacter coli	Campylobacter coli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9892000	Campylobacter concisus	Campylobacter concisus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
447728001	Campylobacter cuniculorum	Campylobacter cuniculorum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116037008	Campylobacter curvus	Campylobacter curvus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84210007	Campylobacter fetus	Campylobacter fetus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113528007	Campylobacter gracilis	Campylobacter gracilis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113522008	Campylobacter helveticus	Campylobacter helveticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416679003	Campylobacter hominis	Campylobacter hominis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9041007	Campylobacter hyointestinalis	Campylobacter hyointestinalis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432460004	Campylobacter insulaenigrae	Campylobacter insulaenigrae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66543000	Campylobacter jejuni	Campylobacter jejuni		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432537009	Campylobacter lanienae	Campylobacter lanienae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116386003	Campylobacter lari	Campylobacter lari		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87402003	Campylobacter mucosalis	Campylobacter mucosalis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
447797004	Campylobacter peloridis	Campylobacter peloridis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113525005	Campylobacter rectus	Campylobacter rectus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113526006	Campylobacter showae	Campylobacter showae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116457002	Campylobacter species	Campylobacter species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
91524009	Campylobacter sputorum	Campylobacter sputorum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445776001	Campylobacter subantarcticus	Campylobacter subantarcticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103427005	Campylobacter upsaliensis	Campylobacter upsaliensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
