Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	3	The current status of the investigation (open or closed)	Published	10/22/2008	Added OTHER to the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
9571008	Approved (qualifier value)	Approved		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29179001	Closed (qualifier value)	Closed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
CA	Deleted	Deleted		2.16.840.1.113883.12.273	Document availability status (HL7)	PH_DocumentAvailabilityStatus_HL7_2x	HL7 v2.5	HL70273
385651009	In progress (qualifier value)	In progress		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C0422202	Notified	Notified		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC226	Ready for Review	Ready for Review		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
C1548437	Rejected	Rejected		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
C1709940	Reviewed	Reviewed		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
385655000	Suspended (qualifier value)	Suspended		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
