Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Cause of Fetal Death ICD-10	PHVS_CauseOfFetalDeath_ICD-10_CDC	2.16.840.1.114222.4.11.7933	1	This value set contains the ICD10 codes for causes 
of fetal death as defined by the ICD-10-Mortality 
Fetal Manual (2016).  Defined as the following, 
a cause of fetal death is the morbid condition 
or disease process, abnormality, injury, or poisoning 
leading directly to fetal death. The initiating 
cause of fetal death is the disease or injury, 
which initiated the chain of morbid events 
leading directly to death or the circumstances 
of the accident or violence, which produced fatal 
injury. A fetal death often results from the 
combined effect of two or more conditions. These 
conditions may be completely unrelated, arising 
independently of each other or they may be causally 
related to each other; that is, one cause may 
lead to another which in turn, leads to a third 
cause, etc.	Published	02/28/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
Q99.1	46,XX true hermaphrodite	46,XX true hermaphrodite [Q99.1]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
A42.1	Abdominal actinomycosis	Abdominal actinomycosis [A42.1]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.6	Abnormal findings in cerebrospinal fluid, abnormal cytological findings	Abnormal findings in cerebrospinal fluid, abnormal cytological findings [R83.6]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.7	Abnormal findings in cerebrospinal fluid, abnormal histological findings	Abnormal findings in cerebrospinal fluid, abnormal histological findings [R83.7]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.4	Abnormal findings in cerebrospinal fluid, abnormal immunological findings	Abnormal findings in cerebrospinal fluid, abnormal immunological findings [R83.4]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.0	Abnormal findings in cerebrospinal fluid, abnormal level of enzymes	Abnormal findings in cerebrospinal fluid, abnormal level of enzymes [R83.0]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.1	Abnormal findings in cerebrospinal fluid, abnormal level of hormones	Abnormal findings in cerebrospinal fluid, abnormal level of hormones [R83.1]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.2	Abnormal findings in cerebrospinal fluid, abnormal level of other drugs, medicaments, and biological substances	Abnormal findings in cerebrospinal fluid, abnormal level of other drugs, medicaments, and biological substances [R83.2]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.3	Abnormal findings in cerebrospinal fluid, abnormal level of substances chiefly nonmedicinal as to source	Abnormal findings in cerebrospinal fluid, abnormal level of substances chiefly nonmedicinal as to source [R83.3]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.5	Abnormal findings in cerebrospinal fluid, abnormal microbiological findings	Abnormal findings in cerebrospinal fluid, abnormal microbiological findings [R83.5]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.8	Abnormal findings in cerebrospinal fluid, other abnormal findings	Abnormal findings in cerebrospinal fluid, other abnormal findings [R83.8]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
R83.9	Abnormal findings in cerebrospinal fluid, unspecified abnormal finding	Abnormal findings in cerebrospinal fluid, unspecified abnormal finding [R83.9]		2.16.840.1.113883.6.3	International Classification of Diseases revision 10 (ICD 10 - WHO)	PH_DiseaseClassification_ICD-10_WHO	2020	I10
