Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
City Places (NCHS)	PHVS_CityPlaces_NCHS	2.16.840.1.114222.4.11.7512	1	THE CONCEPT CODES DISPLAYED ARE THE GNIS FEATURE IDS. THE  FIPS 55-3 CODES ARE INCLUDED IN THE VALUE SET DOWNLOAD FILE AS "PREFERRED ALTERNATE CODE ". Codes for Named Populated Places, Primary County Divisions, and Other Locational Entities of the United States, Puerto Rico, and the Outlying Areas (without codes). The former FIPS 55-3 standard was superseded by ANSI standard INCITS 446-2008. Former FIPS 55 data have been incorporated into the GNIS. The GNIS Feature ID superseded the FIPS55 Place Code (now the Census Code) as the Federal and national standard geographic feature record identifier. The Census Bureau continues to assign five digit Census Codes for internal purposes. http://geonames.usgs.gov/domestic/download_data.htm	Published	12/08/2017	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
2419025	Anchorage, AK	Municipality of Anchorage, AK	03000	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2419025	Anchorage, AK	Municipality of Anchorage, AK	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2419385	Fairbanks, AK	City of Fairbanks, AK	24230	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2419385	Fairbanks, AK	City of Fairbanks, AK	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2419344	Juneau, AK	City and Borough of Juneau, AK	36400	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2419344	Juneau, AK	City and Borough of Juneau, AK	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403069	Alabaster, AL	City of Alabaster, AL	00820	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403069	Alabaster, AL	City of Alabaster, AL	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403074	Albertville, AL	City of Albertville, AL	00988	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403074	Albertville, AL	City of Albertville, AL	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403077	Alexander City, AL	City of Alexander City, AL	01132	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403077	Alexander City, AL	City of Alexander City, AL	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403101	Anniston, AL	City of Anniston, AL	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403101	Anniston, AL	City of Anniston, AL	01852	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403123	Athens, AL	City of Athens, AL	02956	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403123	Athens, AL	City of Athens, AL	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403129	Atmore, AL	City of Atmore, AL	03004	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
2403129	Atmore, AL	City of Atmore, AL	FIPS 55-3 Census Code	2.16.840.1.113883.6.317	Populated Places (NCHS)	PH_PopulatedPlaces_NCHS	6/13/16	GNIS
