Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Clinical Manifestations (Lyme)	PHVS_ClinicalManifestations_Lyme	2.16.840.1.114222.4.11.7840	1	Clinical manifestations of Lyme Disease	Published	07/12/2018	Clinical manifestations of Lyme Disease

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
233917008	Atrioventricular block (disorder)	Atrioventricular block		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
193093009	Bell's palsy (disorder)	Bell's palsy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
48780006	Cranial neuritis (disorder)	Other cranial neuritis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45170000	Encephalitis (disorder)	Encephalitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62950007	Encephalomyelitis (disorder)	Encephalomyelitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
69588003	Erythema chronica migrans (disorder)	Erythema Migrans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
33937009	Lyme arthritis (disorder)	Arthritis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
276064006	Lymphocytic meningitis (disorder)	Lymphocytic meningitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
72274001	Nerve root disorder (disorder)	Radiculoneuropathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
