Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Clinical Syndrome (Arbovirus)	PHVS_ClinicalSyndrome_Arbovirus	2.16.840.1.114222.4.11.3059	7	Clinical syndrome associated with Arboviral diseases  	Published	04/12/2016	Updated with concept sequence. Added Congenital infectious disease. Update the preferred concept names for Dengue, Guilain-Barre Syndrome and Febrile illness.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
84387000	Asymptomatic	Asymptomatic		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416113008	Febrile disorder	Febrile illness		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
7180009	Meningitis	Meningitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC638	Encephalitis Including Meningoencephalitis	Encephalitis - Including Meningoencephalitis		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
698293005	Acute flaccid paralysis	Acute flaccid paralysis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40956001	Guillain-Barre Syndrome	Guillain-Barre Syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC639	Hepatitis and or Jaundice	Hepatitis/Jaundice		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
57653000	Multiple organ failure	Multi-System Organ Failure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other Clinical		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC1457	Other Neuroinvasive Presentation	Other Neuroinvasive Presentation		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
38362002	Dengue	Dengue		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1459	Dengue-like illness	Dengue-like illness		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1458	Severe Dengue	Severe Dengue		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
82353009	Congenital infectious disease	Congenital infection		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
