Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Confidentiality Code (HL7)	PHVS_ConfidentialityCode_HL7_2x	2.16.840.1.114222.4.11.976	1	Identifier of the confidentiality level that should be associated with this order.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AID	AIDS patient	AIDS patient		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
ETH	Alcohol/drug treatment patient	Alcohol/drug treatment patient		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
EMP	Employee	Employee		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
HIV	HIV(+) patient	HIV(+) patient		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
PSY	Psychiatric patient	Psychiatric patient		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
R	Restricted	Restricted		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
UWM	Unwed mother	Unwed mother		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
U	Usual control	Usual control		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
VIP	Very important person or celebrity	Very important person or celebrity		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
V	Very restricted	Very restricted		2.16.840.1.113883.12.177	Confidentiality code (HL7)	PH_ConfidentialityCode_HL7_2x	HL7 v2.5	HL70177
