Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Congenital Diaphragmatic Hernia (NCHS)	PHVS_CongenitalDiaphragmaticHernia_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.55	2	To Reflect Congenital Diaphragmatic Hernia  as an anomality of the newborn	Published	10/29/2014	Initial Import for : 784EBA7C-04C8-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
17190001	Congenital diaphragmatic hernia	Congenital diaphragmatic hernia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
47028006	Congenital hiatus hernia	Congenital hiatus hernia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60507002	Hiatal hernia with gangrene AND obstruction	Hiatal hernia with gangrene AND obstruction		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
74827000	Gangrenous hiatal hernia	Gangrenous hiatal hernia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84089009	Hiatal hernia	Hiatal hernia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
88639006	Hiatal hernia with obstruction but no gangrene	Hiatal hernia with obstruction but no gangrene		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236053002	Sliding hiatus hernia	Sliding hiatus hernia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236055009	Mixed hiatus hernia 	Mixed hiatus hernia 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309751007	Hiatus hernia - irreducible 	Hiatus hernia - irreducible 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309752000	Hiatus hernia with gangrene 	Hiatus hernia with gangrene 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309753005	Hiatus hernia with obstruction	Hiatus hernia with obstruction		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309754004	Simple hiatus hernia 	Simple hiatus hernia 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
