Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	6	Codes representing county of origin, address county, reporting county. 	Published	12/10/2019	v6: Added new codes 02158 and 46102 based on the March 2018 release and included OTH code for cases when county needed is not listed in this value set. [Up to date as of 03/01/20]

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
45001	Abbeville	Abbeville, SC		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
22001	Acadia Parish	Acadia Parish, LA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
51001	Accomack	Accomack, VA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
16001	Ada	Ada, ID		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
40001	Adair	Adair, OK		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
21001	Adair	Adair, KY		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
19001	Adair	Adair, IA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
29001	Adair	Adair, MO		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
42001	Adams	Adams, PA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
08001	Adams	Adams, CO		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
28001	Adams	Adams, MS		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20200301	FIPS6_4
