Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Elements (NND Babesiosis)	PHVS_DataElements_NND_Babesiosis	2.16.840.1.114222.4.11.7664	1	This value set includes the data elements (DE) listed in the message mapping guide (MMG) for Babesiosis.	Published	03/14/2018	Pilot test ready; 1/8/2018.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
300564004	Asplenic	Asplenic		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
82756-8	Blood Donation Date	Blood Donation Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
105470007	Blood Donor	Blood Donor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
82761-8	Blood Donor Implicated During Investigation	Blood Donor Implicated During Investigation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82312-0	Blood Transfusion	Blood Transfusion		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14687-8	Blood Transfusion Date	Blood Transfusion Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV929	Clinical Manifestation	Clinical Manifestation		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV930	Clinical Manifestation Indicator	Clinical Manifestation Indicator		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
85078-4	Current Industry 	Current Industry 		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85657-5	Current Industry Standardized	Current Industry Standardized		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85658-3	Current Occupation 	Current Occupation 		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85659-1	Current Occupation Standardized	Current Occupation Standardized		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
TRAVEL06	Date of Arrival to Travel Destination	Date of Arrival to Travel Destination		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TRAVEL07	Date of Departure from Travel Destination	Date of Departure from Travel Destination		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
82758-4	Date of Previous Illness	Date of Previous Illness		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV964	Donated Product	Donated Product		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
82762-6	Engage In Outdoor Activities	Engage In Outdoor Activities		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81265-1	Highest Measured Temperature	Highest Measured Temperature		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
161413004	History of Previous Illness	History of Previous Illness		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
INV933	Immunocompromised Associated Condition or Treatment	Immunocompromised Associated Condition or Treatment		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
82764-2	International Destination(s) Of Recent Travel	International Destination(s) Of Recent Travel		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82751-9	Mother Babesiosis While Pregnant	Mother Babesiosis While Pregnant		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82750-1	Mother Confirmed Positive After Delivery	Mother Confirmed Positive After Delivery		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82749-3	Mother Confirmed Positive Date	Mother Confirmed Positive Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
MTH162	Mother Confirmed Positive Prior To Delivery	Mother Confirmed Positive Prior To Delivery		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
161663000	Organ Transplant	Organ Transplant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
LAB278	Organism Name	Organism Name		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
82763-4	Outdoor Activities	Outdoor Activities		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82748-5	Parasitemia Level Percentage for Babesiosis	Parasitemia Level Percentage for Babesiosis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
370388006	Patient Immunocompromised	Patient Immunocompromised		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52526-1	Physician Name	Physician Name		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68340-9	Physician Phone	Physician Phone		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68963-8	Specimen Collection Date/Time	Specimen Collection Date/Time		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82760-0	Splenectomy Date	Splenectomy Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82759-2	Splenectomy Reason	Splenectomy Reason		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
264931009	Symptomatic	Symptomatic		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
INV291	Test Result	Test Result		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
