Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Elements (NND Hep A Acute)	PHVS_DataElements_NND_HepAAcute	2.16.840.1.114222.4.11.7516	1		Published	08/02/2016	Data Elements (NND Hep A Acute)

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
1742-6	ALT/SGPT (LN)	ALT/SGPT (LN)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48159-8	Anti-HCV signal to cut-off ratio	Anti-HCV signal to cut-off ratio		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1920-8	AST/SGOT (LN)	AST/SGOT (LN)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43018001	Babysitter	Babysitter		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC299	Child cared for by this patient	Child cared for by this patient		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
INV615	Child or Employee in the child care facility	Child or Employee in the child care facility		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV618	Common-Source Outbreak	Common-Source Outbreak		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV602	Contact with confirmed or suspected case	Contact with confirmed or suspected case		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TRAVEL31	Countries Traveled or Lived Outside U.S. or Canada	Countries Traveled or Lived Outside U.S. or Canada		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC142	Date of Last Dose	Date of Last Dose		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC144	Date of Last IG Dose	Date of Last IG Dose		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV887	Diabetes	Diabetes		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV842	Diabetes Diagnosis Date	Diabetes Diagnosis Date		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
11778-8	Due Date	Due Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV217	Epi-linked to another confirmed or probable case	Epi-linked to another confirmed or probable case		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC126	Ever Receive a  Vaccine	Ever Receive a  Vaccine		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC143	Ever Receive Immune Globulin	Ever Receive Immune Globulin		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
