Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Elements (NND Hep B Chronic)	PHVS_DataElements_NND_HepBChronic	2.16.840.1.114222.4.11.7519	1		Published	08/02/2016	Stage III (final) released 1; 4/21/2016.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
1742-6	ALT/SGPT (LN)	ALT/SGPT (LN)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48159-8	Anti-HCV signal to cut-off ratio	Anti-HCV signal to cut-off ratio		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1920-8	AST/SGOT (LN)	AST/SGOT (LN)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV647	Clotting Factor before 1987	Clotting Factor before 1987		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV887	Diabetes	Diabetes		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV842	Diabetes Diagnosis Date	Diabetes Diagnosis Date		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
11778-8	Due Date	Due Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV648	Ever a Medical/ Dental Blood Worker	Ever a Medical/ Dental Blood Worker		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV829	Ever had contact with Hepatitis	Ever had contact with Hepatitis		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV649	Ever Incarcerated	Ever Incarcerated		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LP38329-6	HBeAg	HBeAg		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LP38331-2	HBsAg	HBsAg		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LP38335-3	HCV RNA	HCV RNA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LP38320-5	HEP B Nucleic Acid Test (NAT)	HEP B Nucleic Acid Test (NAT)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC300	Household member (non-sexual)	Household member (non-sexual)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
LP38318-9	IgM anti-HAV	IgM anti-HAV		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LP38325-4	IgM anti-HBc	IgM anti-HBc		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV643	Injected Drug Use (IDU)	Injected Drug Use (IDU)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
