Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Elements (NND Mumps)	PHVS_DataElements_NND_Mumps	2.16.840.1.114222.4.11.7522	2		Published	08/02/2016	Pilot test ready; 12/8/2017.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
85700-3	Age and Setting Verified	Age and Setting Verified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV109	Case Investigation Status Code	Case Investigation Status Code		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
85657-5	Current  Industry Standardized	Current  Industry Standardized		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85078-4	Current Industry	Current Industry		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85658-3	Current Occupation	Current Occupation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85659-1	Current Occupation Standardized	Current Occupation Standardized		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81266-9	Date of Fever Onset	Date of Fever Onset		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
VAC142	Date of Last Dose Prior to Illness Onset	Date of Last Dose Prior to Illness Onset		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TRAVEL08	Date of Return from Travel	Date of Return from Travel		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
85930-6	Date Specimen Sent to CDC	Date Specimen Sent to CDC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV159	Detection Method	Detection Method		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC126	Did the Subject Ever Receive a Vaccine Against This Disease	Did the Subject Ever Receive a Vaccine Against This Disease		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV217	Epi-Linked	Epi-Linked		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
81265-1	Highest Measured Temperature	Highest Measured Temperature		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV293	Import Status	Import Status		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
82764-2	International Destination(s) of Recent Travel	International Destination(s) of Recent Travel		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV164	Laboratory Confirmed	Laboratory Confirmed		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB630	Laboratory Testing Performed	Laboratory Testing Performed		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
DEM225	Length of time in the US	Length of time in the US		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC153	National Drug Code (NDC)	National Drug Code (NDC)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC129	Number of Doses Received On or After 1st Birthday	Number of Doses Received On or After 1st Birthday		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV301	Parotitis Laterality	Parotitis Laterality		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
