Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Elements (NND Pertussis)	PHVS_DataElements_NND_Pertussis	2.16.840.1.114222.4.11.7523	3		Published	08/02/2016	updated Case Patient a Healthcare Worker, Date Treatment or Therapy Started and Gestational Age data elements.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
85934-8	Age at Cough Onset	Age at Cough Onset		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV559	Antibiotics Given	Antibiotics Given		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
56056-5	Birth Weight	Birth Weight		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV926	Case Patient a Healthcare Worker	Case Patient a Healthcare Worker		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV923	Chest X-ray for Pneumonia	Chest X-ray for Pneumonia		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
PRT008	Cough at Final Interview	Cough at Final Interview		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
85932-2	Cough Onset Date	Cough Onset Date		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85078-4	Current Industry	Current Industry		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85657-5	Current Industry Standardized	Current Industry Standardized		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85658-3	Current Occupation	Current Occupation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85659-1	Current Occupation Standardized	Current Occupation Standardized		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV555	Date of Final Interview	Date of Final Interview		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC142	Date of Last Dose Prior to Illness Onset	Date of Last Dose Prior to Illness Onset		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
MTH174	Date of Mother's Tdap Administration	Date of Mother's Tdap Administration		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
85930-6	Date Specimen Sent to CDC	Date Specimen Sent to CDC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86948-7	Date treatment or therapy started	Date treatment or therapy started		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
INV159	Detection Method	Detection Method		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
MTH172	Did Mother Receive Tdap	Did Mother Receive Tdap		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
