Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Degree License Certification (HL7)	PHVS_DegreeLicenseCertificate_HL7_2x	2.16.840.1.114222.4.11.808	1	The standard classification awarded upon completion of a unified program of study.  HL7 2.5 User-defined Table 0360 - Degree.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PN	Advanced Practice Nurse	Advanced Practice Nurse		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
AAS	Associate of Applied Science	Associate of Applied Science		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
AA	Associate of Arts	Associate of Arts		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
ABA	Associate of Business Administration	Associate of Business Administration		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
AE	Associate of Engineering	Associate of Engineering		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
AS	Associate of Science	Associate of Science		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BA	Bachelor of Arts	Bachelor of Arts		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BBA	Bachelor of Business Administration	Bachelor of Business Administration		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BFA	Bachelor of Fine Arts	Bachelor of Fine Arts		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BN	Bachelor of Nursing	Bachelor of Nursing		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BS	Bachelor of Science	Bachelor of Science		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BSL	Bachelor of Science _ Law	Bachelor of Science _ Law		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BT	Bachelor of Theology	Bachelor of Theology		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BSN	Bachelor on Science - Nursing	Bachelor on Science - Nursing		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
BE	Bachelor or Engineering	Bachelor or Engineering		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
CER	Certificate	Certificate		2.16.840.1.113883.12.360	Degree (HL7)	PH_DegreeLicenseCertificate_HL7_2x	HL7 v2.8	HL70360
