Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Deli Meats (Listeria)	PHVS_DeliMeats_Listeria	2.16.840.1.114222.4.11.7782	2	Listeria deli meat answer list	Published	06/29/2018	v2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC1948	Anything from a deli area where meat is sliced	Anything from a deli area where meat is sliced		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1949	Bologna	Bologna		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1950	Chicken deli meat (not fresh or rotisserie chicken)	Chicken deli meat (not fresh or rotisserie chicken)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
442861000124104	Ham (substance)	Ham		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1951	Head cheese	Head cheese		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1952	Liverwurst or braunschweiger	Liverwurst or braunschweiger		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1947	Other Italian-style meats	Other Italian-style meats (e.g. salami, prosciutto)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1953	Other, deli/luncheon meat (specify)	Other, deli/luncheon meat, specify		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1954	Pastrami or corned beef	Pastrami or corned beef		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1956	Pate or uncanned meat spread	Pate or meat spread that was not canned		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
442771000124102	Pepperoni (substance)	Pepperoni		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
226925008	Roast beef (substance)	Roast beef		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1955	Turkey breast	Turkey breast		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
