Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Delivery (NCHS)	PHVS_Delivery_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.14	2	To Reflect the Delivery Procedure	Published	06/28/2013	updated based on clinician's feedback

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
236989008	Abdominal delivery for shoulder dystocia (procedure)	Abdominal delivery for shoulder dystocia (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
408817009	Amniotomy at delivery (procedure)	Amniotomy at delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397990008	Analgesia for labor/delivery (procedure)	Analgesia for labor/delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
248273008	Aspiration curettage of uterus after delivery (procedure)	Aspiration curettage of uterus after delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
177158008	Assisted breech delivery (procedure)	Assisted breech delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
177167008	Barton forceps cephalic delivery with rotation (procedure)	Barton forceps cephalic delivery with rotation (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30476003	Barton's forceps delivery (procedure)	Barton's forceps delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
237311001	Breech delivery (procedure)	Breech delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
177152009	Breech extraction delivery with version (procedure)	Breech extraction delivery with version (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
306727001	Breech presentation, delivery, no version (procedure)	Breech presentation, delivery, no version (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
287976008	Breech/instrumental delivery operations (procedure)	Breech/instrumental delivery operations (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
