Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Dietary Behavior (HW)	PHVS_DietaryBehavior_HW	1.3.6.1.4.1.19376.1.7.3.1.1.23.8.8	1	To reflect Healthy Weight influencing factors of Dietary Behavior	Published	03/06/2014	Initial Import for : E10F1412-A1A5-E311-8D07-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
308658001	Abnormal eating pattern (finding)	Abnormal eating pattern (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
212572003	Always eating (finding)	Always eating (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
289138007	Always has breakfast (finding)	Always has breakfast (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
231523004	Atypical bulimia nervosa (disorder)	Atypical bulimia nervosa (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
439960005	Binge eating disorder (disorder)	Binge eating disorder (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
248122005	Binging (finding)	Binging (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
78004001	Bulimia nervosa (disorder)	Bulimia nervosa (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59645001	Bulimia nervosa, nonpurging type (disorder)	Bulimia nervosa, nonpurging type (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32721004	Bulimia nervosa, purging type (disorder)	Bulimia nervosa, purging type (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225524007	Chaotic eating (finding)	Chaotic eating (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
248126008	Comfort eating (finding)	Comfort eating (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
371078007	Compulsive eating pattern (finding)	Compulsive eating pattern (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426881004	Developmental delay in feeding (disorder)	Developmental delay in feeding (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
405241002	Dietary indiscretion (finding)	Dietary indiscretion (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427469003	Eating disorder in remission (disorder)	Eating disorder in remission (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225527000	Eating frequently (finding)	Eating frequently (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
248124006	Eating problem (finding)	Eating problem (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225526009	Eats irregularly (finding)	Eats irregularly (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
289141003	Eats regularly (finding)	Eats regularly (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
162555008	Eats snacks frequently (finding)	Eats snacks frequently (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
267023007	Excessive eating - polyphagia (finding)	Excessive eating - polyphagia (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16985007	Fasting (finding)	Fasting (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
74142004	Feeding disorder of infancy OR early childhood (disorder)	Feeding disorder of infancy OR early childhood (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
289140002	Finding of regularity of eating (finding)	Finding of regularity of eating (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
1181000119106	Inappropriate diet and eating habits (finding)	Inappropriate diet and eating habits (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
162552006	Irregular meal frequency (finding)	Irregular meal frequency (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
162551004	Irregular meal times (finding)	Irregular meal times (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192016008	Non-organic infant feeding disturbance (disorder)	Non-organic infant feeding disturbance (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192017004	Non-organic loss of appetite (disorder)	Non-organic loss of appetite (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
408689001	Occasional overeating (finding)	Occasional overeating (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58424009	Overeating (finding)	Overeating (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
270902002	Overeating associated with other psychological disturbances (disorder)	Overeating associated with other psychological disturbances (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
272059005	Polyphagia symptom (finding)	Polyphagia symptom (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
275474009	Psychogenic overeating (disorder)	Psychogenic overeating (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
162554007	Rarely has breakfast (finding)	Rarely has breakfast (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
449279001	Rarely has evening meal (finding)	Rarely has evening meal (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
162550003	Regularly eats 3 meals/day (finding)	Regularly eats 3 meals/day (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
449006002	Routinely consumes majority of food intake at night (finding)	Routinely consumes majority of food intake at night (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
162553001	Usually has breakfast (finding)	Usually has breakfast (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
231521002	Weight fixation (disorder)	Weight fixation (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
