Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Discharge Disposition IP (NCHS)	PHVS_DischargeDispositionIP_NCHS	2.16.840.1.114222.4.11.7360	1	The final arrangement or transfer of care made when a patient is released from an inpatient admission.	Published	09/01/2015	Initial Import for : 83FF4842-E150-E511-BD9F-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
01	Discharged to home or self care	Discharged to home or self care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
02	Discharged/transferred to a short-term General Hospital for Inpatient Care	Discharged/transferred to a short-term General Hospital for Inpatient Care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
03	Discharged /transferred to Skilled Nursing Facility with Medicare Certification in anticipation of skilled care	Discharged /transferred to Skilled Nursing Facility with Medicare Certification in anticipation of skilled care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
04	Discharged/transferred to a Facility that provides custodial or supportive care	Discharged/transferred to a Facility that provides custodial or supportive care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
05	Discharged to a Designated Cancer Center or Children's Hospital	Discharged to a Designated Cancer Center or Children's Hospital		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
06	Discharged/transferred to home under care of an organized Home Health Service Organization in anticipation of covered skilled care	Discharged/transferred to home under care of an organized Home Health Service Organization in anticipation of covered skilled care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
07	Left against Medical advice or discontinued care	Left against Medical advice or discontinued care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
20	Expired	Expired		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
21	Discharged/transferred to Court/Law Enforcement	Discharged/transferred to Court/Law Enforcement		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
43	Discharged/Transferred to a Federal Healthcare Facility	Discharged/Transferred to a Federal Healthcare Facility		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
50	Discharged to Hospice - Home care	Discharged to Hospice - Home care		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
51	Discharged to Hospice - Facility	Discharged to Hospice - Facility		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
61	Discharged/transferred to a hospital-based Medicare-approved swing-bed	Discharged/transferred to a hospital-based Medicare-approved swing-bed		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
62	Discharged/transferred to an Inpatient Rehabilitation Facility	Discharged/transferred to an Inpatient Rehabilitation Facility		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
63	Discharged/transferred to a Medicare Certified Long Term Care Hospital	Discharged/transferred to a Medicare Certified Long Term Care Hospital		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
64	Discharged/transferred to a Nursing facility certified under Medicaid but not certified under Medicare	Discharged/transferred to a Nursing facility certified under Medicaid but not certified under Medicare		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
65	Discharged/transferred to a Psychiatric Hospital or Psychiatric distinct part unit of a hospital	Discharged/transferred to a Psychiatric Hospital or Psychiatric distinct part unit of a hospital		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
66	Discharged/transferred to a Critical Access Hospital (CAH)	Discharged/transferred to a Critical Access Hospital (CAH)		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
70	Discharged/transferred to another type of healthcare institution not defined elsewhare in this code list	Discharged/transferred to another type of healthcare institution not defined elsewhare in this code list		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
81	Discharged to home or self care with a planned Acute Care Hospital readmission	Discharged to home or self care with a planned Acute Care Hospital readmission		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
82	Discharged/transferred to a short-term General Hospital for Inpatient Care with a planned Acute Care Hospital readmission	Discharged/transferred to a short-term General Hospital for Inpatient Care with a planned Acute Care Hospital readmission		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
83	Discharged /transferred to Skilled Nursing Facility with Medicare Certification with a planned Acute Care Hospital readmission	Discharged /transferred to Skilled Nursing Facility with Medicare Certification with a planned Acute Care Hospital readmission		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
84	Discharged/transferred to a Facility that provides custodial or supportive care with a planned Acute Care Hospital readmission	Discharged/transferred to a Facility that provides custodial or supportive care with a planned Acute Care Hospital readmission		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
85	Discharged to a Designated Cancer Center or Children's Hospital with a planned Acute Care Hospital readmission	Discharged to a Designated Cancer Center or Children's Hospital with a planned Acute Care Hospital readmission		2.16.840.1.113883.12.112	Discharge Disposition (HL7)	PH_DischargeDisposition_HL7_2x	HL7 v2.5	HL70112
