Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Disease Type (Hepatitis)	PHVS_DiseaseType_Hepatitis	2.16.840.1.114222.4.11.3230	1	Hepatitis disease type value set has problems or disease related to hepatitis. This value set is based upon SNOMED CT.	Published	07/07/2009	CDA Public Health Case Report New Value Set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
18917003	Acute fulminating type A viral hepatitis (disorder)	Acute fulminating type A viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13265006	Acute fulminating type B viral hepatitis (disorder)	Acute fulminating type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45042004	Acute fulminating viral hepatitis (disorder)	Acute fulminating viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
186624004	Acute hepatitis B with delta agent (coinfection) with hepatic coma (disorder)	Acute hepatitis B with delta agent (coinfection) with hepatic coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
186626002	Acute hepatitis B with delta-agent (coinfection) without hepatic coma (disorder)	Acute hepatitis B with delta-agent (coinfection) without hepatic coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424099008	Acute hepatitis B with hepatic coma (disorder)	Acute hepatitis B with hepatic coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
235864009	Acute hepatitis B with hepatitis D (disorder)	Acute hepatitis B with hepatitis D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
235866006	Acute hepatitis C (disorder)	Acute hepatitis C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
235867002	Acute hepatitis E (disorder)	Acute hepatitis E		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
235868007	Acute non-A non-B hepatitis (disorder)	Acute non-A non-B hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406585009	Acute non-A, non-B, non-C hepatitis (disorder)	Acute non-A, non-B, non-C hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25102003	Acute type A viral hepatitis (disorder)	Acute type A viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76795007	Acute type B viral hepatitis (disorder)	Acute type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57412004	Acute viral hepatitis (disorder)	Acute viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
79031007	Anicteric type A viral hepatitis (disorder)	Anicteric type A viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53425008	Anicteric type B viral hepatitis (disorder)	Anicteric type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4846001	Anicteric viral hepatitis (disorder)	Anicteric viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50167007	Chronic active type B viral hepatitis (disorder)	Chronic active type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66870002	Chronic active viral hepatitis (disorder)	Chronic active viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
1116000	Chronic aggressive type B viral hepatitis (disorder)	Chronic aggressive type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
89789003	Chronic aggressive viral hepatitis (disorder)	Chronic aggressive viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424340000	Chronic hepatitis B with hepatic coma (disorder)	Chronic hepatitis B with hepatic coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128302006	Chronic hepatitis C (disorder)	Chronic hepatitis C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
235870003	Chronic non-A non-B hepatitis (disorder)	Chronic non-A non-B hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38662009	Chronic persistent type B viral hepatitis (disorder)	Chronic persistent type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60037002	Chronic persistent viral hepatitis (disorder)	Chronic persistent viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
61977001	Chronic type B viral hepatitis (disorder)	Chronic type B viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10295004	Chronic viral hepatitis (disorder)	Chronic viral hepatitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
235869004	Chronic viral hepatitis B with hepatitis D (disorder)	Chronic viral hepatitis B with hepatitis D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
