Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Disease Type (TB)	PHVS_DiseaseType_TB	2.16.840.1.114222.4.11.3222	1	Tuberculosis disease type value set has problems or disease related to Tuberculosis. This value set is based upon SNOMED CT.	Published	07/07/2009	CDA Public Health Case Report New Value Set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
427099000	Active tuberculosis (disorder)	Active tuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58374007	Acute diffuse tuberculosis (disorder)	Acute diffuse tuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240381007	Acute miliary cutaneous tuberculosis (disorder)	Acute miliary cutaneous tuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
186276006	Acute miliary tuberculosis (disorder)	Acute miliary tuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
186278007	Acute miliary tuberculosis of multiple sites (disorder)	Acute miliary tuberculosis of multiple sites		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
194949003	Acute myocarditis - tuberculous (disorder)	Acute myocarditis - tuberculous		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25629007	Acute tuberculosis (disorder)	Acute tuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
194908003	Acute tuberculous pericarditis (disorder)	Acute tuberculous pericarditis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240380008	Acute tuberculous ulcer (disorder)	Acute tuberculous ulcer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413556004	Antibiotic resistant tuberculosis (disorder)	Antibiotic resistant tuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
238431000	Bacillus Calmette-Guerin (BCG) granuloma (disorder)	BCG granuloma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
