Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Disposition ED (NCHS)	PHVS_DispositionED_NCHS	2.16.840.1.114222.4.11.7437	2	The final arrangement or transfer of care made when a patient completes and emergency department encounter	Published	09/15/2015	Initial Import for : 15A84DD8-A7D8-E411-8970-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
442291000124106	Discharge from observation unit (procedure)	Discharge from observation unit		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
63238001	Dead on arrival at hospital	Dead on arrival		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445060000	Left against medical advice	Left against medical advice		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3780001	No follow-up planned	No follow-up planned		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
442271000124105	Patient transfer to psychiatric hospital (procedure)	Patient transfer to psychiatric hospital		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25675004	Patient transfer to skilled nursing facility (procedure)	Patient transfer to skilled nursing facility (SNF)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
223446004	Recommendation to return	Return to ED		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
306227000	Referral for mental health counselling	Return/refer to physician/clinic for outpatient mental health treatment		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
396150002	Referral for substance abuse	Return/refer to physician/clinic for substance abuse treatment		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183664005	Refer to hospital OPD	Return/refer to physician/clinic for follow-up		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
185392008	Patient never seen	Left without being seen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448821000124107	Left before treatment complete (finding)	Left before treatment was complete		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
184297005	Patient died in hospital	Died in ED		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
306694006	Discharge to nursing home	Return/transfer to nursing home		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
306705005	Discharge to police custody	Return/transfer to jail/prison/law enforcement		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448681000124107	Involuntary patient transfer to psychiatric hospital (procedure)	Transfer to psychiatric inpatient treatment - involuntary status		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448671000124109	Voluntary patient transfer to psychiatric hospital (procedure)	Transfer to psychiatric inpatient treatment - voluntary status		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448971000124102	Patient transfer to psychiatric hospital, willingness undocumented	Transfer to psychiatric inpatient treatment - status not documented		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448571000124105	Patient transfer to substance abuse treatment facility (procedure)	Transfer to substance abuse treatment facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448691000124105	Patient transfer to inpatient behavioral healthcare facility (procedure)	Transfer to inpatient behavioral healthcare facility - type unknown		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448561000124103	Patient transfer to non psychiatric hospital (procedure). 	Transfer to other non-psychiatric hospital		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432661000124104	 Hospital admission, transfer from emergency department	Admit to this hosptal		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1407	Admission to observation unit (procedure)+Hospital Admission from Observation Unit (procedure)	Admit to observation unit then hospitalized		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
448551000124100	Patient transfer to another hospital (procedure)	Transfer to other hospital		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448311000124107	Transfer due to request for continuity of care (finding)	Continuity of care request by patient, family or physician		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448301000124109	Transfer due to need for specialized care (finding)	Higher level or specialized care needed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448291000124108	Transfer due to need for pediatric hospital (finding)	Pediatric hospital needed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448281000124105	Transfer due to insurance provider requirement or request (finding)	Insurance requirement/request		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
NI	NoInformation	Insufficient Information available		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
