Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Disposition OPD (NCHS)	PHVS_DispositionOPD_NCHS	2.16.840.1.114222.4.11.7361	1	The final arrangement or transfer of care made when a patient completes an outpatient visit	Published	09/14/2015	Initial Import for : 483D076B-6556-E511-BD9F-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC1395	Return to+Referral source+Healthcare professional	Return to referring physician/provider		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
449221000124102	Referral to different healthcare provider	Refer to other physician/provider		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1396	Next Appointment+Time frame+Less than 1 week (qualifier value)	Return in less than 1 week		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1397	Next Appointment+Time frame+1 week to less than 2 months (qualifier value)	Return in 1 week to less than 2 months		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1398	Next Appointment+Time frame+2 months or greater (qualifier value)	Return in 2 months or greater		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1406	Next Appointment+Time frame+Indefinite time 	Return at unspecified time		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
91310009	Patient follow-up to return when and if necessary	Return as needed (p.r.n.)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183452005	Emergency hospital admission	Refer to E.R./Admit to hospital		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65537008	Patient discharge, to home, routine	Routine discharge to customary residence		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1399	Discharge from establishment+hospital admission	Discharge to observation status		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
405807003	Discharge to convalescence	Discharge to post-surgical/recovery care facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32485007	Hospital admission (procedure) 	Admitted to hospital as inpatient		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183660001	Refer to Accident and Emergency department	Referred to ED		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397023003	Operation not completed	Surgery terminated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29242007	Canceled operative procedure	Procedure cancelled on arrival to Ambulatory Surgical Unit		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398068008	Patient transfer to postoperative anesthesia care unit	Move to observation/post surgical/recovery care area in the same hospital, i.e., not admitted as an inpatient		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
