Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Drug Active Ingredients	PHVS_DrugActiveIngredients_FDA_SRS_UNII	2.16.840.1.114222.4.11.1102	3	Drug Active Ingredients from FDA SRS. This also includes ingredients for combination drugs.	Published	10/22/2008	FDA UNII Code System Release 01/22/2010

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
3VEX9T7UT5	(PHTHALOCYANINATO(2-)) COPPER	(PHTHALOCYANINATO(2-)) COPPER		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
U71X1M7968	.ALPHA.(SUB 1)-SITOSTEROL	.ALPHA.(SUB 1)-SITOSTEROL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
JE030BGE05	.ALPHA.,.ALPHA.-DIMETHYLBENZYL ALCOHOL	.ALPHA.,.ALPHA.-DIMETHYLBENZYL ALCOHOL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
8306QPJ19P	.ALPHA.-AMINOBUTYRIC ACID	.ALPHA.-AMINOBUTYRIC ACID		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
3W5667U7C0	.ALPHA.-CYCLOHEXYL-.BETA.-(3,5-DIIODO-4-HYDROXYPHENYL)PROPIONIC ACID	.ALPHA.-CYCLOHEXYL-.BETA.-(3,5-DIIODO-4-HYDROXYPHENYL)PROPIONIC ACID		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
5J5I9EB41E	.ALPHA.-D-GLUCOPYRANOSE	.ALPHA.-D-GLUCOPYRANOSE		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
4L3WC4P6GF	.ALPHA.-D-GLUCOPYRANOSE, MONOHYDRATE	.ALPHA.-D-GLUCOPYRANOSE, MONOHYDRATE		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
0L557IU5L4	.ALPHA.-ETHYL-P-HYDROXY-HYDROCINNAMIC ACID	.ALPHA.-ETHYL-P-HYDROXY-HYDROCINNAMIC ACID		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
8ID597Z82X	.ALPHA.-KETOGLUTARIC ACID	.ALPHA.-KETOGLUTARIC ACID		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
A7E6112E4N	.ALPHA.-TOCOPHEROL ACETATE, D-	.ALPHA.-TOCOPHEROL ACETATE, D-		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
WR1WPI7EW8	.ALPHA.-TOCOPHEROL ACETATE, DL-	.ALPHA.-TOCOPHEROL ACETATE, DL-		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
11P2JDE17B	.BETA.-ALANINE	.BETA.-ALANINE		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
