Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
ECOTOX Chemicals (EPA)	PHVS_ECOTOX_EPA	2.16.840.1.114222.4.11.3055	1	Chemicals present in ECOTOX database. The ECOTOX (ECOTOXicology) database provides single chemical toxicity information for aquatic and terrestrial life.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
962548	(R)-N-Ethyl-2-(((phenylamino)carbonyl)oxy)propanamide	(R)-N-Ethyl-2-(((phenylamino)carbonyl)oxy)propanamide		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
202101	.alpha.-D-Glucofuranose, 1,2-O-[(1R)-2,2,2-trichloroethylidene]-	.alpha.-D-Glucofuranose, 1,2-O-[(1R)-2,2,2-trichloroethylidene]-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
1714551	.alpha.-D-Glucopyranose, 3-O-methyl-	.alpha.-D-Glucopyranose, 3-O-methyl-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
1714746	.alpha.-D-Glucopyranoside, (1S,4R,5R,6R,6aS,9S,10aR)-3-[(1S)-2-(acetyloxy)-1-methylethyl]-1,2,4,5,6,6a,7,8,9,10a-decahydro-1,5-dihydroxy-9-(methoxymethyl)-6,10a-dimethyldicyclopenta[a,d]cycloocten-4-yl 6-O-(1,1-dimethyl-2-propenyl)-, 4-acetate	.alpha.-D-Glucopyranoside, (1S,4R,5R,6R,6aS,9S,10aR)-3-[(1S)-2-(acetyloxy)-1-methylethyl]-1,2,4,5,6,6a,7,8,9,10a-decahydro-1,5-dihydroxy-9-(methoxymethyl)-6,10a-dimethyldicyclopenta[a,d]cycloocten-4-yl 6-O-(1,1-dimethyl-2-propenyl)-, 4-acetate		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
1714756	.alpha.-D-Glucopyranoside, (4R,5R,6R,6aS,9R,10aR)-1,2,4,5,6,6a,7,8,9,10a-decahydro-5,9-dihydroxy-9-(methoxymethyl)-6,10a-dimethyl-3-(1-methylethyl)dicyclopenta[a,d]cycloocten-4-yl 3,4-O-[(1R,2S)-2-hydroxy-1-(hydroxymethyl)-1-methyl-1,3-propanediyl]-6-O-me	.alpha.-D-Glucopyranoside, (4R,5R,6R,6aS,9R,10aR)-1,2,4,5,6,6a,7,8,9,10a-decahydro-5,9-dihydroxy-9-(methoxymethyl)-6,10a-dimethyl-3-(1-methylethyl)dicyclopenta[a,d]cycloocten-4-yl 3,4-O-[(1R,2S)-2-hydroxy-1-(hydroxymethyl)-1-methyl-1,3-propanediyl]-6-O-me		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
2568	.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl	.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
49429	.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl O-.alpha.-D-galactopyranosyl-(1.fwdarw.6)-	.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl O-.alpha.-D-galactopyranosyl-(1.fwdarw.6)-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
33811	.alpha.-D-Glucopyranoside, 1,3,4,6-tetra-O-acetyl-.beta.-D-fructofuranosyl, tetraacetate	.alpha.-D-Glucopyranoside, 1,3,4,6-tetra-O-acetyl-.beta.-D-fructofuranosyl, tetraacetate		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
1714752	.alpha.-D-Glucopyranoside, 3-[2-(acetyloxy)-1-methylethyl]-1,2,4,5,6,6a,7,8,9,10a-decahydro-1,5-dihydroxy-9-(methoxymethyl)-6,10a-dimethyldicyclopenta[a,d]cycloocten-4-yl 6-O-(1,1-dimethyl-2-propenyl)-, 2-acetate, [1S-[1.alpha.,3(R*),4.alpha.,5.beta.,6.be	.alpha.-D-Glucopyranoside, 3-[2-(acetyloxy)-1-methylethyl]-1,2,4,5,6,6a,7,8,9,10a-decahydro-1,5-dihydroxy-9-(methoxymethyl)-6,10a-dimethyldicyclopenta[a,d]cycloocten-4-yl 6-O-(1,1-dimethyl-2-propenyl)-, 2-acetate, [1S-[1.alpha.,3(R*),4.alpha.,5.beta.,6.be		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
295527	.alpha.-L-xylo-2-Hexulofuranosonic acid, 2,3:4,6-bis-O-(1-methylethylidene)-, sodium salt	.alpha.-L-xylo-2-Hexulofuranosonic acid, 2,3:4,6-bis-O-(1-methylethylidene)-, sodium salt		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
147850	.beta.,.beta.-Carotene	.beta.,.beta.-Carotene		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
36855	.beta.-Alanine, N-[(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl]-, calcium salt (2:1)	.beta.-Alanine, N-[(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl]-, calcium salt (2:1)		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
87080	.beta.-Alanine, N-dodecyl-	.beta.-Alanine, N-dodecyl-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
961599	.beta.-D-erythro-Hex-2-enopyranuronic acid, 4-[[3-amino-5-[(aminoiminomethyl)methylamino]-1-oxopentyl]amino]-1-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1,2,3,4-tetradeoxy-, (S)-	.beta.-D-erythro-Hex-2-enopyranuronic acid, 4-[[3-amino-5-[(aminoiminomethyl)methylamino]-1-oxopentyl]amino]-1-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1,2,3,4-tetradeoxy-, (S)-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
172809	.beta.-D-Galactopyranoside, (2.alpha.,3.beta.,5.alpha.,15.beta.,25R)-2,15-dihydroxyspirostan-3-yl O-.beta.-D-glucopyranosyl-(1.fwdarw.3)-O-.beta.-D-galactopyranosyl-(1.fwdarw.2)-O-[.beta.-D-xylopyranosyl-(1.fwdarw.3)]-O-.beta.-D-glucopyranosyl-(1.fwdarw.4	.beta.-D-Galactopyranoside, (2.alpha.,3.beta.,5.alpha.,15.beta.,25R)-2,15-dihydroxyspirostan-3-yl O-.beta.-D-glucopyranosyl-(1.fwdarw.3)-O-.beta.-D-galactopyranosyl-(1.fwdarw.2)-O-[.beta.-D-xylopyranosyl-(1.fwdarw.3)]-O-.beta.-D-glucopyranosyl-(1.fwdarw.4		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
17295288	.beta.-D-Glucopyranose, 1,6-anhydro-	.beta.-D-Glucopyranose, 1,6-anhydro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
962498	.beta.-D-Glucopyranoside, [(Z)-methyl-ONN-azoxy] methyl	.beta.-D-Glucopyranoside, [(Z)-methyl-ONN-azoxy] methyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
17295270	.beta.-D-Glucopyranoside, 4-hydroxyphenyl	.beta.-D-Glucopyranoside, 4-hydroxyphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
87106	.beta.-D-Glucopyranoside, phenyl	.beta.-D-Glucopyranoside, phenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
4358	[1,1'-Bicyclohexyl]-1-carboxylic acid, 2-(diethylamino)ethyl ester, hydrochloride	[1,1'-Bicyclohexyl]-1-carboxylic acid, 2-(diethylamino)ethyl ester, hydrochloride		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
58461	[1,1'-Binaphthalene]-2,2'-diol	[1,1'-Binaphthalene]-2,2'-diol		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
17151911	[1,1'-Biphenyl]-2,2'-dicarbonitrile, 3,3',4,4',5,5',6,6'-octafluoro-	[1,1'-Biphenyl]-2,2'-dicarbonitrile, 3,3',4,4',5,5',6,6'-octafluoro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
