Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Handling Code	PHVS_EntityHandling_CDC	2.16.840.1.114222.4.11.990	1	Special handling codes for specimens	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AMB	Ambient Temperature	Ambient Temperature		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
C37	Body Temperature	Body Temperature		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
CAMB	Critical Ambient temperature	Critical Ambient temperature		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
CFRZ	Critical frozen	Critical frozen		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
CREF	Critical refrigerated temperature	Critical refrigerated temperature		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
DFRZ	Deep Frozen	Deep Frozen		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
PSA	do not shake	do not shake		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
DRY	dry	dry		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
FRZ	frozen	frozen		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
MTLF	Metal Free	Metal Free		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
NTR	nitrogen	nitrogen		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
PSO	no shock	no shock		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
CATM	Protect from Air	Protect from Air		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
PRTL	Protect from Light	Protect from Light		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
REF	Refrigerated temperature	Refrigerated temperature		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
SBU	Shake before use	Shake before use		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
UFRZ	Ultra frozen	Ultra frozen		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
UPR	upright	upright		2.16.840.1.113883.5.42	EntityHandling	PH_EntityHandling_HL7_V3	20090501	ENTITYHDLG
