Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Entity Person Name Part Qualifier (HL7)	PHVS_EntityPersonNamePartQualifier_HL7_V3	2.16.840.1.113883.11.20.9.26	1		Published	03/26/2015	Initial Import for : 046C5A41-FCD3-E411-8970-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AC	academic	academic		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
AD	adopted	adopted		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
BR	birth	birth		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
CL	callme	callme		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
IN	initial	initial		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
NB	nobility	nobility		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
PR	professional	professional		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
SP	spouse	spouse		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
TITLE	title	title		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
VV	voorvoegsel	voorvoegsel		2.16.840.1.113883.5.43	EntityNamePartQualifier (HL7)	PH_EntityNamePartQualifier_HL7_V3	20130801	EntityNamePartQual
