Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Environmental Investigation Reason	PHVS_EnvironmentalInvestigationReason_CDC	2.16.840.1.114222.4.11.991	1	Reasons for initiating an environmental investigation	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC153	Community Development Block Grant (CDBG)	Community Development Block Grant (CDBG)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC160	Complaint Response	Complaint Response		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC52	HUD	HUD		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC152	Meets Persistently EBLL Criteria	Meets Persistently EBLL Criteria		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC161	Meets Standard Investigation Criteria	Meets Standard Investigation Criteria		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC424	Personal request	Citizen Request		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
02	Physician/health practitioner order	Physician Order		2.16.840.1.113883.12.62	Event Reason (HL7)	PH_EventReason_HL7_2x	HL7 v2.5	HL70062
315233008	Primary prevention (procedure)	Primary prevention		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC58	Relocation Address	Relocation Address		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC151	Safe Work Practice Complaint	Safe Work Practice Complaint		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
