Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Exposure Setting (COVID-19)	PHVS_ExposureSetting_COVID-19	2.16.840.1.114222.4.11.7942	2	Exposure setting.	Published	06/20/2020	Added child day care center

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
257562009	Airport (environment)	Airport/airplane		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC2266	Animal with confirmed or suspected disease	Animal with confirmed or suspected COVID-19		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
413817003	Child day care center (environment)	Child care facility 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C3826521	Congregate housing	Adult congregate living facility		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC2267	Contact with known case	Contact with a known COVID-19 case (probable or confirmed)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
C1880391	Domestic	Domestic travel (outside state of normal residence)		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
C1512888	International	International travel		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
C3841750	Mass gathering	Community event/mass gathering		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
OTH	other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
257656006	Penal institution (environment)	Correctional facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
473085002	Recent cruise travel (event)	Cruise ship or vessel travel as passenger or crew member		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257698009	School (environment)	School/university		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	unknown	Unknown exposures in the 14 days prior to illness onset	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
285141008	Work environment (environment)	Workplace		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
