Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Extended Priority Codes (HL7)	PHVS_ExtendedPriorityCodes_HL7_2x	2.16.840.1.114222.4.11.1024	1	Extended Order Priority	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PRN	As needed	As needed		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
A	ASAP	ASAP		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
C	Callback	Callback		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
P	Preop	Preop		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
R	Routine	Routine		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
S	Stat	Stat		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
TD<integer>	TD<integer>	TD<integer>		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
TH<integer>	TH<integer>	TH<integer>		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
T	Timing critical	Timing critical		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
TL<integer>	TL<integer>	TL<integer>		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
TM<integer>	TM<integer>	TM<integer>		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
TS<integer>	TS<integer>	TS<integer>		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
TW<integer>	TW<integer>	TW<integer>		2.16.840.1.113883.12.485	Extended Priority Codes (HL7)	PH_ExtendedPriorityCodes_HL7_2x	HL7 v2.5	HL70485
