Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Fetal Presentation at Birth- Cephalic (NCHS)	PHVS_FetalPresentationAtBirthCephalic_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.109	2	To Reflect the Fetal Presentation at Birth- Cephalic method of delivery	Published	11/03/2014	Initial Import for : 52528781-BAC6-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
70028003	vertex presentation	vertex presentation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
14058000	asynclitism	asynclitism		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11409005	left occipitoanterior position	left occipitoanterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18905000	left occipitolateral position	left occipitolateral position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31477000	left occipitoposterior position	left occipitoposterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36547009	right occipitoposterior position	right occipitoposterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37040008	right occipitolateral position	right occipitolateral position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37235006	occipitoposterior position	occipitoposterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39889007	right occipitoanterior position	right occipitoanterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
46917002	anterior asynclitism	anterior asynclitism		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
90381008	occipitoanterior position	occipitoanterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
90731001	posterior asynclitism	posterior asynclitism		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
163513009	on examination - vertex presentation	on examination - vertex presentation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
249070009	direct occipitoposterior position	direct occipitoposterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
249071008	occipitolateral position	occipitolateral position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309469004	spontaneous vertex delivery	spontaneous vertex delivery		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
408813008	direct occipitoanterior position	direct occipitoanterior position		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441640001	vertex presentation with caput succedaneum	vertex presentation with caput succedaneum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
