Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Fetus Weight (NCHS)	PHVS_FetusWeight_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.151	2	To Reflect the weight of the fetus	Published	02/10/2015	Initial Import for : ADA52C41-34C3-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
11727-5	Body weight:Mass:Pt:Fetus:Qn:US.estimated	Body weight:Mass:Pt:^Fetus:Qn:US.estimated		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11728-3	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11729-1	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11730-9	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11731-7	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL and HC	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL&HC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11732-5	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL and HC.Hadlock 1985	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL&HC.Hadlock 1985		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11733-3	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL and HC.Roberts 1985	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL&HC.Roberts 1985		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11734-1	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL.Hadlock 1984	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL.Hadlock 1984		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11735-8	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL.Hadlock 1985	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL.Hadlock 1985		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11736-6	Body weight:Mass:Pt:Fetus:Qn:US.estimated from AC and BPD and FL.Woo 1985	Body weight:Mass:Pt:^Fetus:Qn:US.estimated from AC&BPD&FL.Woo 1985		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
