Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Financially Responsible Party Type Value Set	PHVS_FinanciallyResponsibleParty_HL7_V3	2.16.840.1.113883.1.11.10416	1	A relationship between two entities that is formally recognized, frequently by a contract or similar agreement. This identifies the party that has responsibility for all or a portion of the patient’s healthcare.	Published	07/23/2009	HITSP Public Health Vocabulary

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AFFL	affiliate	affiliate		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
AGNT	agent	agent		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
CIT	citizen	citizen		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
CRINV	clinical research investigator	clinical research investigator		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
CRSPNSR	clinical research sponsor	clinical research sponsor		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
SPNSR	coverage sponsor	coverage sponsor		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
COVPTY	covered party	covered party		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
EMP	employee	employee		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
GUAR	guarantor	guarantor		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
INVSBJ	Investigation Subject	Investigation Subject		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
PAYOR	invoice payor	invoice payor		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
LIC	licensed entity	licensed entity		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
PAT	patient	patient		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
PAYEE	payee	payee		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
POLHOLD	policy holder	policy holder		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
QUAL	qualified entity	qualified entity		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
STD	student	student		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
UNDWRT	underwriter	underwriter		2.16.840.1.113883.5.110	RoleClass	PH_RoleClass_HL7_V3	20090501	HITSP-CS-110
