Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Fresh Produce (FDD)	PHVS_FreshProduce_FDD	2.16.840.1.114222.4.11.3087	2	Fresh produce consumed answer list	Published	10/19/2018	v2-- Added additional values to the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
B1245	APPLE 	Apple		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
PHC2123	Baby carrot	Mini Carrots		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B1309	BEET 	Beets		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
442691000124108	Bell pepper (substance)	Bell peppers, unknown		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
B1443	BROCCOLI 	Broccoli		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1227	CARROT 	Carrots		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1094	CAULIFLOWER 	Cauliflower		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1282	CELERY 	Celery		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1306	CHERRY 	Cherries		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1536	COCONUT PALM 	Coconut		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1404	CUCUMBER 	Cucumbers		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
PHC2126	Fresh guacamole	Fresh guacamole (not from a jar)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B3484	GARDEN PEA 	Garden peas		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1078	GLOBE TOMATO 	Tomatoes, red round		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1329	GRAPE 	Grape		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1507	GRAPEFRUIT 	Grapefruit		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B2629	GREEN BELL PEPPER 	Bell peppers, green		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1333	GUAVA 	Guava		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1582	HONEYDEW MELON 	Honeydew Melon		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1643	HOT PEPPER 	Hot chil/chili peppers (e.g., jalapenos or serranos)		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B5178	KIWIFRUIT 	Kiwi		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1275	LEMON 	Lemon		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1067	LIME (CITRUS) 	Lime		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1270	MANGO 	Mango		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1608	MINIATURE TOMATO 	Tomatoes, grape/cherry (bite-sized)		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B4224	MUSKMELON, CANTALOUPE GROUP 	Cantaloupe		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1436	NECTARINE 	Nectarine		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
260413007	None (qualifier value)	None		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
B1300	ONION 	Raw onions, unknown		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1339	ORANGE 	Orange		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
PHC2122	Orange bell pepper	Bell peppers, orange		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	Other types of fresh produce (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2133	Other melon	Other melon		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2125	Other raw onions	Raw onions, other		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2124	Other raw peas	Raw peas, other		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2021	Other Tomatoes (specify)	Tomatoes, other		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B1249	PAPAYA 	Papaya		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1001	PEA, EDIBLE SEED CULTIVARS 	Raw peas, unknown		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1350	PEACH 	Peach		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
