Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Genotype (Measles)	PHVS_Genotype_Measles	2.16.840.1.114222.4.11.3126	1	Measles genotypes answer list	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
426558008	Measles virus genotype A (organism)	Measles virus genotype A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426654002	Measles virus genotype B2 (organism)	Measles virus genotype B2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427073007	Measles virus genotype B3 (organism)	Measles virus genotype B3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426188007	Measles virus genotype C1 (organism)	Measles virus genotype C1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427182003	Measles virus genotype C2 (organism)	Measles virus genotype C2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427263000	Measles virus genotype D10 (organism)	Measles virus genotype D10		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426640005	Measles virus genotype D2 (organism)	Measles virus genotype D2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425970007	Measles virus genotype D3 (organism)	Measles virus genotype D3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426261008	Measles virus genotype D4 (organism)	Measles virus genotype D4		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427706006	Measles virus genotype D5 (organism)	Measles virus genotype D5		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426028006	Measles virus genotype D6 (organism)	Measles virus genotype D6		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427353006	Measles virus genotype D7 (organism)	Measles virus genotype D7		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427290009	Measles virus genotype D8 (organism)	Measles virus genotype D8		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426535005	Measles virus genotype D9 (organism)	Measles virus genotype D9		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426091009	Measles virus genotype G2 (organism)	Measles virus genotype G2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425684000	Measles virus genotype G3 (organism)	Measles virus genotype G3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425966004	Measles virus genotype H1 (organism)	Measles virus genotype H1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426424002	Measles virus genotype H2 (organism)	Measles virus genotype H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
