Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Genotype (Rubella)	PHVS_Genotype_Rubella	2.16.840.1.114222.4.11.3127	3	Rubella genotypes answer list	Published	12/05/2017	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
425872000	Rubella virus genotype 1a (organism)	Rubella virus genotype 1a		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425415004	Rubella virus genotype 1B (organism)	Rubella virus genotype 1B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427398000	Rubella virus genotype 1C (organism)	Rubella virus genotype 1C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427559006	Rubella virus genotype 1D (organism)	Rubella virus genotype 1D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426085007	Rubella virus genotype 1E (organism)	Rubella virus genotype 1E		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426367009	Rubella virus genotype 1F (organism)	Rubella virus genotype 1F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426209008	Rubella virus genotype 1g (organism)	Rubella virus genotype 1g		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698201004	Rubella virus genotype 1H (organism)	Rubella virus genotype 1H (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698202006	Rubella virus genotype 1I (organism)	Rubella virus genotype 1I (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698203001	Rubella virus genotype 1J (organism)	Rubella virus genotype 1J (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425891000	Rubella virus genotype 2A (organism)	Rubella virus genotype 2A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426612000	Rubella virus genotype 2B (organism)	Rubella virus genotype 2B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427329000	Rubella virus genotype 2c (organism)	Rubella virus genotype 2c (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
