Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Gonorrhea (NCHS)	PHVS_Gonorrhea_NCHS	2.16.840.1.114222.4.11.6071	2	To reflect Gonorrhea as Infections present and treated during this pregnancy	Published	09/26/2014	Initial Import for : 38E63A65-2560-E211-9A66-001A4BE7FA90

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
15628003	Gonorrhea	Gonorrhea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
151004	Gonococcal meningitis  	Gonococcal meningitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2390000	Acute gonococcal vulvovaginitis 	Acute gonococcal vulvovaginitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5085001	Gonococcemia 	Gonococcemia 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9241004	Gonococcal heart disease 	Gonococcal heart disease 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11906007	Chronic gonococcal vulvovaginitis 	Chronic gonococcal vulvovaginitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12373006	Chronic gonococcal bartholinitis 	Chronic gonococcal bartholinitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17305005	Acute gonorrhea of genitourinary tract  	Acute gonorrhea of genitourinary tract  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
20943002	Acute gonococcal cervicitis 	Acute gonococcal cervicitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24868007	Acute gonococcal cystitis  	Acute gonococcal cystitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
27681008	Chronic gonorrhea 	Chronic gonorrhea 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28572009	Chronic gonorrhea of genitourinary tract 	Chronic gonorrhea of genitourinary tract 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29864006	Acute gonococcal urethritis  	Acute gonococcal urethritis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31999004	Chronic gonococcal endometritis 	Chronic gonococcal endometritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
35255008	Gonorrhea in mother complicating pregnancy/ childbirth AND/OR puerperium 	Gonorrhea in mother complicating pregnancy/ childbirth AND/OR puerperium 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40149008	Gonococcal keratitis  	Gonococcal keratitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42746002	Gonorrhea of rectum  	Gonorrhea of rectum  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44412000	Chronic gonococcal urethritis 	Chronic gonococcal urethritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44743006	Gonococcal infection of joint 	Gonococcal infection of joint 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45377007	Acute gonococcal salpingitis  	Acute gonococcal salpingitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
46699001	Gonococcal bursitis  	Gonococcal bursitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50970007	Acute gonorrhea of upper genitourinary tract 	Acute gonorrhea of upper genitourinary tract 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53529004	Chronic gonococcal salpingitis 	Chronic gonococcal salpingitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53664003	Gonococcal spondylitis  	Gonococcal spondylitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
54825009	Acute gonorrhea of lower genitourinary tract  	Acute gonorrhea of lower genitourinary tract  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
61048000	Gonococcal endocarditis  	Gonococcal endocarditis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65295003	Acute gonococcal endometritis 	Acute gonococcal endometritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
74372003	Gonorrhea of pharynx  	Gonorrhea of pharynx  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76802005	Chronic gonococcal cervicitis  	Chronic gonococcal cervicitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80388004	Chronic gonorrhea of upper genitourinary tract 	Chronic gonorrhea of upper genitourinary tract 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80604007	Acute gonococcal bartholinitis 	Acute gonococcal bartholinitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
