Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Head Circumference Findings	PHVS_HeadCircumferenceFindings_CDC	2.16.840.1.114222.4.11.7470	1	Head Circumference findings	Published	01/31/2016	301338002 - SNOMED Code Intrinsic value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
422695002	Abnormal head circumference in relation to growth / age standard (finding)	Abnormal head circumference in relation to growth / age standard		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169879004	Birth head circumference equal to 10th-24th centile (finding)	Birth head circumference equal to 10th-24th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169880001	Birth head circumference equal to 25th-49th centile (finding)	Birth head circumference equal to 25th-49th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169881002	Birth head circumference equal to 50th-74th centile (finding)	Birth head circumference equal to 50th-74th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169882009	Birth head circumference equal to 75th-89th centile (finding)	Birth head circumference equal to 75th-89th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169883004	Birth head circumference equal to 90th-96th centile (finding)	Birth head circumference equal to 90th-96th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169884005	Birth head circumference equal to or greater than 97th centile (finding)	Birth head circumference equal to or greater than 97th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169877002	Birth head circumference equal to third centile (finding)	Birth head circumference equal to third centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169878007	Birth head circumference equal to third-ninth centile (finding)	Birth head circumference equal to third-ninth centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314643009	Child head circumference < 0.4th centile (finding)	Child HC < 0.4th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314644003	Child head circumference = 0.4th centile (finding)	Child HC = 0.4th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314660004	Child head circumference >99.6th centile (finding)	Child HC >99.6th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314645002	Child head circumference 0.5th - 1.9th centile (finding)	Child HC 0.5th - 1.9th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314649008	Child head circumference 10th - 24th centile (finding)	Child HC 10th - 24th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314651007	Child head circumference 26th - 49th centile (finding)	Child HC 26th - 49th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314652000	Child head circumference 50 equal to 50th centile (finding)	Child head circumference 50 equal to 50th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314653005	Child head circumference 51st - 74th centile (finding)	Child HC 51st - 74th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314655003	Child head circumference 76th - 90th centile (finding)	Child HC 76th - 90th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314657006	Child head circumference 92nd - 97th centile (finding)	Child HC 92nd - 97th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314659009	Child head circumference 98.1st-99.6th centile (finding)	Child HC 98.1st-99.6th centile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
