Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Immunization Service Funding Eligibility Value Set	PHVS_ImmunizationServiceFundingEligibility_HL7_2x	2.16.840.1.114222.4.5.301	1	Identifies the Immunization Service Funding Eligibility assigned to the patient for the purpose of identifying sources of reimbursement. See User Defined Table 0064 Financial Class in Appendix 1 in CDC Implementation Guide for Immunization Data Transactions.	Published	07/23/2009	HITSP Public Health Vocabulary

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
H02	Medicaid (may be called by state-specific name, e.g., Medi-Cal)	Medicaid (may be called by state-specific name, e.g., Medi-Cal)		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V01	Not VFC eligible	Not VFC eligible		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
CH02	S-CHIP coverage-combination of Medicaid and separate-not VFC eligible	S-CHIP coverage-combination of Medicaid and separate-not VFC eligible		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
CH00	S-CHIP coverage-not VFC eligible	S-CHIP coverage-not VFC eligible		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
CH01	S-CHIP coverage-separate from Medicaid-not VFC eligible	S-CHIP coverage-separate from Medicaid-not VFC eligible		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
H01	Self pay	Self pay		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
IS00	Some or all vaccine costs covered	Some or all vaccine costs covered		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
H03	Third party or private insurance	Third party or private insurance		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
IS01	Underinsured (no vaccine costs covered and not FQC/RHC)	Underinsured (no vaccine costs covered and not FQC/RHC)		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V00	VFC eligibility not determined/unknown	VFC eligibility not determined/unknown		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V04	VFC eligible – American Indian/Alaskan Native	VFC eligible – American Indian/Alaskan Native		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V05	VFC eligible – Federally Qualified Health Center Patient (under-insured)	VFC eligible – Federally Qualified Health Center Patient (under-insured)		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V07	VFC eligible - Local-specific eligibility	VFC eligible - Local-specific eligibility		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V02	VFC eligible - Medicaid/Medicaid Managed Care	VFC eligible - Medicaid/Medicaid Managed Care		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V06	VFC eligible - State-specific eligibility (e.g., S-CHIP plan)	VFC eligible - State-specific eligibility (e.g., S-CHIP plan)		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
V03	VFC eligible – Uninsured	VFC eligible – Uninsured		2.16.840.1.113883.12.64	Financial Class (HL7)	PH_FinancialClass_HL7_2x	2.5.1	HL70064
