Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Induction of Labor (NCHS)	PHVS_InductionOfLabor_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.34	2	To Reflect that there was an Induction of Labor	Published	03/12/2015	Initial Import for : 6BA73578-94CE-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
236958009	Induction of labor	Induction of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31208007	Medical induction of labor	Medical induction of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85179000	Insertion of laminaria into cervix 	Insertion of laminaria into cervix 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
177135005	Oxytocin induction of labor 	Oxytocin induction of labor 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
177136006	Prostaglandin induction of labor	Prostaglandin induction of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
180221005	Intravenous induction of labor	Intravenous induction of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236962003	Cervical ripening with Foley catheter 	Cervical ripening with Foley catheter 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236963008	Cervical ripening with tents	Cervical ripening with tents		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236964002	Cervical ripening with synthetic tent 	Cervical ripening with synthetic tent 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236965001	Cervical ripening with drug	Cervical ripening with drug		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236966000	Cervical ripening with Prostaglandin E2 	Cervical ripening with Prostaglandin E2 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236969007	Acupuncture for induction of labor	Acupuncture for induction of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
315308008	Dilatation of cervix for delivery 	Dilatation of cervix for delivery 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
408818004	Induction of labor by artificial rupture of membranes	Induction of labor by artificial rupture of membranes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425861005	Cervical ripening with balloon 	Cervical ripening with balloon 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
