Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
7280	Accounting, tax preparation, bookkeeping, and payroll services	Accounting, tax preparation, bookkeeping, and payroll services [7280]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
9570	Administration of economic programs and space research	Administration of economic programs and space research [9570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
9490	Administration of environmental quality and housing programs	Administration of environmental quality and housing programs [9490]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
9480	Administration of human resource programs	Administration of human resource programs [9480]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
7470	Advertising and related services	Advertising and related services [7470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
3590	Aerospace products and parts manufacturing	Aerospace products and parts manufacturing [3590]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
2180	Agricultural chemical manufacturing	Agricultural chemical manufacturing [2180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
3070	Agricultural implement manufacturing	Agricultural implement manufacturing [3070]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
6070	Air transportation	Air transportation [6070]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
3580	Aircraft and parts manufacturing	Aircraft and parts manufacturing [3580]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010
