Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Industry (Census)	PHVS_Industry_Census	2.16.840.1.114222.4.11.6037	2	Alphabetical Indexes of Industries and Occupations were developed primarily for use in classifying a respondent's industry (employer's type of business) and occupation (employee's type of work) as reported in the Census 2000, the Current Population Survey, the American Community Survey, and other demographic surveys conducted by the Census Bureau. They list over 21,000 industry and 31,000 occupation titles in alphabetical order. They are comprehensive lists of specific industries and occupations developed over time and continuously updated through review of census and survey responses.
For technical questions related to the Industry and Occupation Classification System, contact the Industry and Occupation Statistics Branch at 301-763-3239.	Published	11/28/2012	version 2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
7280	Accounting, tax preparation, bookkeeping, and payroll services	Accounting, tax preparation, bookkeeping, and payroll services (Professional, Scientific, and Management, and Administrative, and Waste Management Services)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
9570	Administration of economic programs and space research	Administration of economic programs and space research (Public Administration)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
9490	Administration of environmental quality and housing programs	Administration of environmental quality and housing programs (Public Administration)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
9480	Administration of human resource programs	Administration of human resource programs (Public Administration)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
7470	Advertising and related services	Advertising and related services (Professional, Scientific, and Management, and Administrative, and Waste Management Services)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
3590	Aerospace products and parts manufacturing	Aerospace products and parts manufacturing (Manufacturing)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
2180	Agricultural chemical manufacturing	Agricultural chemical manufacturing (Manufacturing)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
3070	Agricultural implement manufacturing	Agricultural implement manufacturing (Manufacturing)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
6070	Air transportation	Air transportation (Transportation and Warehousing and Utilities)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
3580	Aircraft and parts manufacturing	Aircraft and parts manufacturing (Manufacturing)		2.16.840.1.113883.6.310	U.S. Census Industry Code (2007)	PH_Industry_Census	2007	uscic
