Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Industry (NAICS)	PHVS_Industry_NAICS_2007	2.16.840.1.114222.4.11.1100	1	The North American Industry Classification System (NAICS) consists of a set of six digit codes that classify and categorize industries.  It also organizes the categories on a production/process-oriented basis.  This new, uniform, industry-wide classification system has been designed as the index for statistical reporting of all economic activities of the U.S., Canada, and Mexico.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
32791	Abrasive Product Manufacturing	Abrasive Product Manufacturing [32791]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
327910	Abrasive Product Manufacturing	Abrasive Product Manufacturing [327910]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
721	Accommodation	Accommodation [721]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
72	Accommodation and Food Services	Accommodation and Food Services [72]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
5412	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Accounting, Tax Preparation, Bookkeeping, and Payroll Services [5412]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
54121	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Accounting, Tax Preparation, Bookkeeping, and Payroll Services [54121]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
5223	Activities Related to Credit Intermediation	Activities Related to Credit Intermediation [5223]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
5313	Activities Related to Real Estate	Activities Related to Real Estate [5313]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
32552	Adhesive Manufacturing	Adhesive Manufacturing [32552]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
325520	Adhesive Manufacturing	Adhesive Manufacturing [325520]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92411	Administration of Air and Water Resource and Solid Waste Management Programs	Administration of Air and Water Resource and Solid Waste Management Programs [92411]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
924110	Administration of Air and Water Resource and Solid Waste Management Programs	Administration of Air and Water Resource and Solid Waste Management Programs [924110]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92412	Administration of Conservation Programs	Administration of Conservation Programs [92412]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
924120	Administration of Conservation Programs	Administration of Conservation Programs [924120]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
9261	Administration of Economic Program	Administration of Economic Program [9261]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
926	Administration of Economic Programs	Administration of Economic Programs [926]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92311	Administration of Education Programs	Administration of Education Programs [92311]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
923110	Administration of Education Programs	Administration of Education Programs [923110]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
924	Administration of Environmental Quality Programs	Administration of Environmental Quality Programs [924]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
9241	Administration of Environmental Quality Programs	Administration of Environmental Quality Programs [9241]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92611	Administration of General Economic Programs	Administration of General Economic Programs [92611]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
926110	Administration of General Economic Programs	Administration of General Economic Programs [926110]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92511	Administration of Housing Programs	Administration of Housing Programs [92511]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
925110	Administration of Housing Programs	Administration of Housing Programs [925110]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
925	Administration of Housing Programs, Urban Planning, and Community Development	Administration of Housing Programs, Urban Planning, and Community Development [925]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
9251	Administration of Housing Programs, Urban Planning, and Community Development	Administration of Housing Programs, Urban Planning, and Community Development [9251]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
923	Administration of Human Resource Programs	Administration of Human Resource Programs [923]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
9231	Administration of Human Resource Programs	Administration of Human Resource Programs [9231]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92313	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) [92313]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
923130	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) [923130]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92312	Administration of Public Health Programs	Administration of Public Health Programs [92312]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
923120	Administration of Public Health Programs	Administration of Public Health Programs [923120]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92512	Administration of Urban Planning and Community and Rural Development	Administration of Urban Planning and Community and Rural Development [92512]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
925120	Administration of Urban Planning and Community and Rural Development	Administration of Urban Planning and Community and Rural Development [925120]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
92314	Administration of Veterans' Affairs	Administration of Veterans' Affairs [92314]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
923140	Administration of Veterans' Affairs	Administration of Veterans' Affairs [923140]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
56	Administrative and Support and Waste Management and Remediation Services	Administrative and Support and Waste Management and Remediation Services [56]		2.16.840.1.113883.6.85	Industry (NAICS)	PH_Industry_NAICS	20070101	NAICS
