Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Industry (SIC)	PHVS_Industry_SIC_1987	2.16.840.1.114222.4.11.945	1	Industry - SIC 1987	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
3341	2ndary Smelt/Nonferrous Metals	2ndary Smelt/Nonferrous Metals [3341]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
3291	Abrasive Products	Abrasive Products [3291]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
8721	Acc., Auditing & Bookkeeping	Acc., Auditing & Bookkeeping [8721]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
6321	Accident and Health Insurance	Accident and Health Insurance [6321]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
2891	Adhesives and Sealants	Adhesives and Sealants [2891]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
7322	Adjustment & Collect Services	Adjustment & Collect Services [7322]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9441	Adm of Social/Human Resource	Adm of Social/Human Resource [9441]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9532	Adm of Urb Plan/Comm/Rurl Dev	Adm of Urb Plan/Comm/Rurl Dev [9532]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9451	Adm of Vet Affairs, ex Hea/Ins	Adm of Vet Affairs, ex Hea/Ins [9451]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9611	Admin of General Economic Pro	Admin of General Economic Pro [9611]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9531	Admin of Housing Programs	Admin of Housing Programs [9531]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9431	Admin of Pub Health Programs	Admin of Pub Health Programs [9431]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9411	Administration of Educat Prog	Administration of Educat Prog [9411]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
7311	Advertising Agencies	Advertising Agencies [7311]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
7319	Advertising, Nec	Advertising, Nec [7319]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
9511	Air & Water Res & Sol Wste Mgt	Air & Water Res & Sol Wste Mgt [9511]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
3563	Air and Gas Compressors	Air and Gas Compressors [3563]		2.16.840.1.113883.6.232	Industry (SIC)	PH_Industry_SIC_1987	1987	SIC
