Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Infertility Treatment (NCHS)	PHVS_InfertilityTreatment_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.143	3	To Reflect Risk Factors of Pregnancy Infertility Treatment	Published	09/22/2014	Initial Import for : 9E72EDCA-30C5-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
65046005	Infertility therapy 	Infertility therapy 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
46249006	Artificial insemination-heterologous 	Artificial insemination-heterologous 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57233006	Artificial insemination with sperm washing and capacitation 	Artificial insemination with sperm washing and capacitation 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
63487001	Assisted fertilization 	Assisted fertilization 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66601000	Artificial insemination-homologous 	Artificial insemination-homologous 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
176844003	Intracervical artificial insemination	Intracervical artificial insemination		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183036001	Female infertility therapy 	Female infertility therapy 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
225249007	Subzonal insemination	Subzonal insemination		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236895005	Artificial insemination by husband	Artificial insemination by husband		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236896006	Artificial insemination by donor 	Artificial insemination by donor 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
265064001	Intrauterine artificial insemination	Intrauterine artificial insemination		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425644009	Intrauterine insemination with controlled ovarian hyperstimulation using donor sperm 	Intrauterine insemination with controlled ovarian hyperstimulation using donor sperm 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426250000	Intrauterine insemination using donor sperm 	Intrauterine insemination using donor sperm 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426389008	Intrauterine insemination using partner sperm 	Intrauterine insemination using partner sperm 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426968007	Intrauterine insemination with controlled ovarian hyperstimulation using partner sperm 	Intrauterine insemination with controlled ovarian hyperstimulation using partner sperm 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
