Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Insurance Type (RIBD)	PHVS_InsuranceType_RIBD	2.16.840.1.114222.4.11.7731	1	Patient's primary insurance type	Published	03/05/2018	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
91497007	Incarcerated (qualifier value)	Incarcerated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
331	Indian Health Service - Regular	Indian Health Service - Regular		2.16.840.1.113883.3.221.5	Source of Payment Typology (PHDSC)	PH_SourceOfPaymentTypology_PHDSC	8.0	PHDSCPT
51	Managed Care (Private)	Managed Care (Private)		2.16.840.1.113883.3.221.5	Source of Payment Typology (PHDSC)	PH_SourceOfPaymentTypology_PHDSC	8.0	PHDSCPT
7	MANAGED CARE, UNSPECIFIED (to be used only if one can't distinguish public from private)	Managed Care , Unspecified		2.16.840.1.113883.3.221.5	Source of Payment Typology (PHDSC)	PH_SourceOfPaymentTypology_PHDSC	8.0	PHDSCPT
2	MEDICAID	MEDICAID		2.16.840.1.113883.3.221.5	Source of Payment Typology (PHDSC)	PH_SourceOfPaymentTypology_PHDSC	8.0	PHDSCPT
1	MEDICARE	MEDICARE		2.16.840.1.113883.3.221.5	Source of Payment Typology (PHDSC)	PH_SourceOfPaymentTypology_PHDSC	8.0	PHDSCPT
PHC68	Military/VA insurance	Military/VA insurance		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	other insurance		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
5	PRIVATE HEALTH INSURANCE	PRIVATE HEALTH INSURANCE		2.16.840.1.113883.3.221.5	Source of Payment Typology (PHDSC)	PH_SourceOfPaymentTypology_PHDSC	8.0	PHDSCPT
424553001	Uninsured medication expenses (finding)	Uninsured		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
