Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
JFDI Observation Type (NCHS)	PHVS_JFDIObservationType_NCHS	2.16.840.1.114222.4.11.7586	6	The collection of observation types used for reporting jurisdictional facility death information (JFDI) for birth and fetal death reporting.	Published	11/14/2019	v6: November 2019 update

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
74498-7	Autopsy or histological placental examination results were used	Autopsy or histological placental examination results were used		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
73768-4	Autopsy was performed	Autopsy was performed		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87286-1	Birth attendant details	Birth attendant details		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
73764-3	Birth attendant title	Birth attendant title		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62329-8	Birth hospital ID Facility	Birth hospital facility ID [Identifier] in Facility		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
57722-1	Birth plurality	Birth plurality		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11638-4	Births.still living	Births.still living		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC1478	Birthweight edit flag	Birthweight edit flag		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
56077-1	Body weight ^ pre current pregnancy	Body weight ^ pre current pregnancy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69461-2	Body weight^ at delivery	Body weight^ at delivery		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8339-4	Body weight^at birth	Body weight^at birth		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
73780-9	Congenital anomalies of the newborn [US Standard Certificate of Live Birth]	Congenital anomalies of the newborn		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69044-6	Date first prenatal visit	Date first prenatal visit		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68499-3	Date last live birth	Date last live birth		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8665-2	Date last menstrual period	Date last menstrual period		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68500-8	Date last other pregnancy outcome	Date last other pregnancy outcome		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76061-1	Death cause other significant conditions	Death cause other significant conditions		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
73779-1	Down syndrome karyotype status [US Standard Certificate of Live Birth]	Down syndrome karyotype status		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC1481	Estimate of gestation edit flag	Estimate of gestation edit flag		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
