Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Job Supervisory Level or Pay Grade (ODH)	PHVS_JobSupervisoryLevelorPayGrade_ODH	2.16.840.1.114222.4.11.7613	2	Reflects the amount of supervisory or management responsibilities for an individual’s job. In the military, this is the person’s pay grade, which serves as a proxy for supervisory level and can be interpreted across branches. 	Published	11/24/2019	v2: Addition of C-0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
C-0	C0 - Civilian non-supervisory worker	Civilian Non Supervisor		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
C-3	C3 - 1st Line Supervisor	First Line Supervisor		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
C-6	C6 - Manager	Manager		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-1	E1 - Enlisted Military Personnel 1	US Military Enlisted paygrade E-1		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-2	E2 - Enlisted Military Personnel 2	US Military Enlisted paygrade E-2		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-3	E3 - Enlisted Military Personnel 3	US Military Enlisted paygrade E-3		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-4	E4 - Enlisted Military Personnel 4	US Military Enlisted paygrade E-4		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-5	E5 - Enlisted Military Personnel 5	US Military Enlisted paygrade E-5		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-6	E6 - Enlisted Military Personnel 6	US Military Enlisted paygrade E-6		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
E-7	E7 - Enlisted Military Personnel 7	US Military Enlisted paygrade E-7		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20191121	CDCODH
